# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.25 	-1.11784 	0.00159537 	0.212929 	0.00118702 	8.68424 	0.0926758 	4.69626 	0.0523904
0.26 	-1.18226 	0.00167019 	0.232597 	0.00147946 	9.11385 	0.0988936 	5.51578 	0.060559
0.27 	-1.25218 	0.00159311 	0.253642 	0.00148573 	9.51538 	0.10794 	6.48778 	0.0681002
0.28 	-1.31847 	0.00183094 	0.279908 	0.00166362 	10.3441 	0.12643 	7.50524 	0.085901
0.29 	-1.40194 	0.00205054 	0.314169 	0.00205914 	11.0123 	0.134464 	9.22892 	0.106104
0.3 	-1.48213 	0.00194484 	0.359397 	0.00219134 	12.029 	0.147087 	11.0642 	0.107642
0.31 	-1.57601 	0.0025725 	0.415203 	0.00300343 	13.4879 	0.179178 	13.293 	0.116348
0.32 	-1.6819 	0.00284832 	0.487386 	0.00381467 	15.5432 	0.177955 	15.5779 	0.128768
0.33 	-1.79454 	0.00364702 	0.568895 	0.00402539 	17.3228 	0.185424 	16.8345 	0.141451
0.34 	-1.92855 	0.00372006 	0.669989 	0.00464298 	18.2588 	0.175308 	16.6633 	0.228019
0.35 	-2.06191 	0.00331958 	0.770312 	0.00402331 	18.2325 	0.184264 	14.6111 	0.286967
0.36 	-2.18725 	0.00380068 	0.85659 	0.00405487 	16.7295 	0.21355 	11.4533 	0.317714
0.37 	-2.29724 	0.00282193 	0.926875 	0.00292425 	14.3426 	0.221073 	8.04283 	0.320268
0.38 	-2.39198 	0.00292317 	0.983067 	0.0023881 	11.8961 	0.209205 	5.24303 	0.26725
0.39 	-2.4648 	0.00218602 	1.01752 	0.00189917 	10.0348 	0.166242 	3.76039 	0.208244
0.4 	-2.53299 	0.00191089 	1.04966 	0.00125258 	7.93821 	0.14472 	2.28163 	0.131953
0.41 	-2.58369 	0.00150662 	1.07102 	0.000961258 	6.55338 	0.102485 	1.54606 	0.0834965
0.42 	-2.62985 	0.00135074 	1.08807 	0.000681033 	5.41637 	0.0743338 	1.11336 	0.0374027
0.43 	-2.66576 	0.00129192 	1.10016 	0.000576656 	4.72192 	0.0623172 	0.932073 	0.0398041
0.44 	-2.69624 	0.00104642 	1.10994 	0.000532332 	3.87604 	0.0497277 	0.717085 	0.0147052
0.45 	-2.72353 	0.000962272 	1.11817 	0.000455536 	3.38314 	0.0421567 	0.637489 	0.0115591
