# nm = 1024 nc = 100 len = 100 extf = 0 beta = 0.3
#energy 	magnetization 	acceptance
-0.7408	0.0236	0.524912
-0.7212	-0.054	0.522458
-0.7416	0.0122	0.521715
-0.7148	0.011	0.5215
-0.7212	0.026	0.522397
-0.6836	-0.0294	0.521727
-0.7408	0.013	0.519768
-0.7036	-0.0134	0.523132
-0.71	0.0014	0.522256
-0.7012	-0.0044	0.523157
-0.6884	0.002	0.523942
-0.698	0.0126	0.522841
-0.6904	-0.0066	0.520824
-0.7212	0.0348	0.521847
-0.6816	-0.0518	0.523727
-0.6996	-0.0126	0.523568
-0.7048	-0.028	0.523559
-0.7076	0.009	0.521319
-0.7048	-0.0328	0.521855
-0.6776	-0.0096	0.521722
-0.7084	0.015	0.524101
-0.6908	0.0062	0.520406
-0.7084	-0.0112	0.520639
-0.696	-0.0208	0.52266
-0.6824	0.0294	0.523935
-0.7132	0.0092	0.522071
-0.6752	0.0082	0.521425
-0.6848	0.0038	0.52146
-0.7372	-0.0404	0.521503
-0.69	0.0244	0.521002
-0.7188	-0.0406	0.522227
-0.7244	-0.0096	0.523601
-0.7276	0.0126	0.522225
-0.6864	0.0162	0.519826
-0.7244	-0.0114	0.523988
-0.7044	-0.0156	0.523143
-0.7212	-0.0332	0.524158
-0.7252	0.0224	0.521026
-0.7144	-0.0112	0.521908
-0.7152	0.0034	0.524913
-0.7112	0.03	0.522615
-0.6844	0.0186	0.523113
-0.7204	-0.0374	0.51936
-0.7068	0.018	0.525389
-0.7164	-0.0112	0.519976
-0.6936	-0.0158	0.520655
-0.7208	-0.0444	0.521613
-0.7124	-0.0006	0.524189
-0.69	-0.011	0.521182
-0.7196	-0.0062	0.52221
-0.6796	0.0092	0.521493
-0.696	-0.071	0.523299
-0.682	-0.011	0.52113
-0.7148	0.029	0.522598
-0.6804	-0.0216	0.522057
-0.694	0.0246	0.522781
-0.696	-0.0164	0.525619
-0.7232	0.027	0.521463
-0.69	-0.0558	0.521718
-0.684	0.0098	0.520354
-0.7288	-0.0186	0.520424
-0.7228	0.0212	0.521091
-0.69	-0.0178	0.522523
-0.7	0.0246	0.524394
-0.698	-0.0302	0.523906
-0.7468	0.0228	0.520701
-0.6912	0.0178	0.522217
-0.6912	0.012	0.522957
-0.7248	0.0214	0.523717
-0.6888	-0.0146	0.523334
-0.7008	-0.0262	0.523092
-0.718	-0.0076	0.523769
-0.668	0.0096	0.521944
-0.7252	-0.0206	0.520447
-0.7048	-0.0552	0.522885
-0.714	-0.013	0.521721
-0.7148	-0.0126	0.523462
-0.6972	-0.0192	0.521279
-0.7096	0.0212	0.52031
-0.7288	0.0146	0.522419
-0.7216	0.0016	0.522023
-0.7168	-0.0032	0.520202
-0.7208	0.018	0.522468
-0.7096	0.0142	0.520197
-0.6948	-0.027	0.521392
-0.682	-0.0134	0.522464
-0.7084	-0.0358	0.520476
-0.672	0.0312	0.522713
-0.676	-0.0178	0.522277
-0.6964	0.0072	0.524273
-0.7132	-0.0102	0.521657
-0.7148	-0.0294	0.52251
-0.7164	0.016	0.523133
-0.7188	0.0278	0.522895
-0.6932	-0.0474	0.523696
-0.7144	0.0158	0.521746
-0.6928	-0.0122	0.520942
-0.7108	-0.0152	0.522439
-0.7036	0.0368	0.521278
-0.7112	-0.0476	0.523428
