# nm = 1024 nc = 100 len = 100 extf = 0 beta = 0.5
#energy 	magnetization 	acceptance
-1.7452	-0.9154	0.079184
-1.7392	-0.9174	0.079792
-1.7592	-0.9118	0.078974
-1.7664	-0.921	0.077686
-1.7484	-0.9166	0.079154
-1.74	-0.9168	0.077091
-1.7512	-0.9142	0.079441
-1.74	-0.907	0.081364
-1.7264	-0.9108	0.076485
-1.7368	-0.909	0.078343
-1.7612	-0.9128	0.079013
-1.7436	-0.9156	0.079296
-1.728	-0.9058	0.079191
-1.744	-0.911	0.076514
-1.7652	-0.9206	0.078686
-1.7504	-0.9132	0.077523
-1.7972	-0.9342	0.078279
-1.7196	-0.901	0.076294
-1.7436	-0.9018	0.081242
-1.7276	-0.8974	0.08095
-1.7696	-0.922	0.078605
-1.7548	-0.9152	0.077994
-1.7632	-0.9172	0.07865
-1.7352	-0.9034	0.080159
-1.7332	-0.9036	0.079137
-1.7448	-0.9134	0.080889
-1.7544	-0.9194	0.080356
-1.7676	-0.9212	0.080083
-1.7428	-0.9158	0.079089
-1.7224	-0.9012	0.079857
-1.752	-0.9126	0.080169
-1.7624	-0.9162	0.080882
-1.7572	-0.9208	0.078201
-1.7476	-0.9124	0.079232
-1.7504	-0.9104	0.079482
-1.7484	-0.9144	0.079568
-1.76	-0.919	0.079025
-1.7228	-0.8984	0.080615
-1.7788	-0.9276	0.080952
-1.7556	-0.918	0.078358
-1.7312	-0.9102	0.077823
-1.7544	-0.9148	0.080371
-1.7392	-0.9148	0.078008
-1.776	-0.9262	0.079145
-1.762	-0.9146	0.08009
-1.726	-0.9066	0.079098
-1.77	-0.9206	0.081358
-1.7812	-0.9224	0.078285
-1.7424	-0.9096	0.079308
-1.7432	-0.9132	0.07942
-1.7532	-0.9144	0.078628
-1.724	-0.9058	0.077527
-1.75	-0.9182	0.077088
-1.7452	-0.9134	0.080896
-1.7388	-0.911	0.079822
-1.742	-0.9056	0.078245
-1.7304	-0.8956	0.080364
-1.7584	-0.9186	0.079317
-1.7584	-0.9136	0.076337
-1.738	-0.91	0.07691
-1.764	-0.923	0.081627
-1.7512	-0.9146	0.076556
-1.7332	-0.9076	0.076957
-1.7256	-0.9084	0.080084
-1.7212	-0.8962	0.079771
-1.7508	-0.9104	0.080791
-1.7884	-0.9306	0.078783
-1.744	-0.917	0.079212
-1.7608	-0.914	0.078763
-1.736	-0.9004	0.0799
-1.7812	-0.926	0.07853
-1.7444	-0.9192	0.078226
-1.754	-0.9212	0.076844
-1.7712	-0.9128	0.081616
-1.7448	-0.9158	0.082903
-1.716	-0.8918	0.081188
-1.7176	-0.8958	0.079326
-1.754	-0.9202	0.077296
-1.7536	-0.9148	0.078451
-1.7596	-0.9158	0.082737
-1.7324	-0.9058	0.079856
-1.754	-0.915	0.079934
-1.7744	-0.9192	0.078125
-1.7556	-0.9178	0.079427
-1.7564	-0.899	0.079706
-1.7824	-0.931	0.08011
-1.7336	-0.901	0.079882
-1.7248	-0.9	0.077797
-1.7624	-0.92	0.078838
-1.7432	-0.9138	0.078805
-1.7532	-0.916	0.079903
-1.7468	-0.9154	0.078087
-1.732	-0.906	0.078849
-1.74	-0.901	0.077311
-1.7396	-0.9076	0.077697
-1.7664	-0.9166	0.082691
-1.7592	-0.9184	0.078515
-1.7548	-0.9114	0.079433
-1.7432	-0.914	0.080127
-1.7432	-0.9072	0.08092
-1.7584	-0.9146	0.079123
-1.73	-0.9038	0.079454
-1.7308	-0.9084	0.078299
-1.7236	-0.9028	0.079882
-1.7312	-0.9004	0.079346
-1.738	-0.9046	0.079079
-1.7388	-0.9144	0.079253
-1.7448	-0.9136	0.079734
-1.7632	-0.9198	0.078125
-1.7216	-0.8916	0.078187
-1.744	-0.9014	0.077819
-1.7168	-0.8956	0.082723
-1.7512	-0.9084	0.081232
-1.7372	-0.9106	0.079221
-1.7656	-0.9182	0.078836
-1.7724	-0.925	0.078384
-1.7384	-0.9062	0.077356
-1.7468	-0.9176	0.078577
-1.7668	-0.9222	0.076891
-1.7368	-0.9094	0.079904
-1.7244	-0.9002	0.079362
-1.76	-0.918	0.080239
-1.7524	-0.914	0.07739
-1.7208	-0.9016	0.080466
-1.7512	-0.9112	0.082558
-1.7656	-0.9188	0.079502
-1.7384	-0.9082	0.079109
-1.7264	-0.902	0.078697
-1.7564	-0.9206	0.078827
-1.7468	-0.9076	0.080575
-1.7288	-0.9104	0.080516
-1.7632	-0.9258	0.080225
-1.7636	-0.9224	0.077357
-1.7388	-0.9096	0.079406
-1.7128	-0.8854	0.079727
-1.7596	-0.9172	0.084799
-1.7692	-0.923	0.077693
-1.7404	-0.909	0.081372
-1.74	-0.913	0.07891
-1.7648	-0.9182	0.079514
-1.7336	-0.9048	0.078667
-1.758	-0.919	0.078821
-1.7384	-0.9114	0.081068
-1.736	-0.909	0.07795
-1.7336	-0.905	0.080284
-1.7288	-0.9022	0.081786
-1.778	-0.923	0.079506
-1.7456	-0.9118	0.07684
-1.7652	-0.9252	0.077581
-1.7404	-0.9084	0.078138
-1.7532	-0.9098	0.079511
-1.7156	-0.8972	0.079863
-1.728	-0.908	0.077946
-1.7672	-0.9192	0.077772
-1.7476	-0.9148	0.07799
-1.7604	-0.9144	0.080212
-1.7356	-0.9088	0.07835
-1.7832	-0.928	0.080558
-1.742	-0.9096	0.080854
-1.734	-0.9106	0.080345
-1.7556	-0.918	0.077429
-1.7184	-0.9032	0.07959
-1.7552	-0.9214	0.078575
-1.7264	-0.9026	0.081592
-1.7412	-0.913	0.080566
-1.7764	-0.926	0.077989
-1.7328	-0.9082	0.074375
