#beta 	x0 	error 	csi 	error
0.4	1.96039	0.000564475	17.9006	0.00525271
0.4	3.71567	0.000499488	18.7553	0.00535626
0.4	3.42781	0.000458249	17.4928	0.0042566
0.4	2.90133	0.000605142	15.4286	0.00397761
0.4	2.67006	0.000616307	10.7964	0.00285172
0.4	5.1325	0.000511003	-139.523	0.333967
0.4	4.87746	0.000452124	33.7648	0.0205048
0.4	-19.7904	0.000486409	0.835748	8.54094e-06
0.4	3.01814	0.000519662	16.795	0.00451585
0.4	24.1585	0.000475451	5.24451	0.000474278
0.4	2.38279	0.000619173	38.6146	0.0287201
0.4	-6.92888	0.000450095	0.982718	1.28567e-05
0.4	0.802318	0.00119546	4.50569	0.00167973
0.4	2.1649	0.000532003	12.8142	0.00252428
0.4	-0.989873	0.00159619	2.17786	0.000660602
0.4	-18.9386	0.000485831	0.854635	8.89478e-06
0.41	4.71905	0.000641496	30.2778	0.0168222
0.41	5.21558	0.000529477	-94.5198	0.145222
0.41	2.68433	0.00049388	21.7551	0.0070988
0.41	2.8958	0.000603015	83.5063	0.135893
0.41	3.72464	0.000522728	37.1087	0.0248024
0.41	2.99455	0.000556806	34.6335	0.0202823
0.41	2.55099	0.000469823	14.5522	0.00297766
0.41	2.17534	0.00059852	12.2004	0.00307975
0.41	0.604501	0.000713352	12.2154	0.00294652
0.41	1.91336	0.000590962	14.8971	0.00376694
0.41	-0.385964	0.00173145	3.0582	0.0013409
0.41	-0.267974	0.00138071	3.3927	0.00111151
0.41	3.71061	0.000567253	36.4887	0.0221447
0.41	1.00744	0.000709519	5.8741	0.0011838
0.41	2.07508	0.000898108	6.12341	0.00194244
0.41	-3.3182	0.00152109	1.52105	0.0002551
0.42	-0.391582	0.00123384	3.62163	0.000969947
0.42	1.49371	0.000724402	16.1424	0.00541811
0.42	1.89712	0.000839818	10.5568	0.00421466
0.42	-0.0130843	0.00113572	7.12779	0.00232829
0.42	1.17471	0.000681653	9.08843	0.00176394
0.42	3.11611	0.000727047	52.7315	0.0615121
0.42	2.70062	0.000550174	17.4765	0.00535386
0.42	-0.879243	0.00118854	4.67886	0.00115362
0.42	-0.0138535	0.00101799	4.5801	0.00104151
0.42	0.996148	0.000866728	10.867	0.00388953
0.42	-0.168817	0.0014136	4.4448	0.00168386
0.42	18.1455	0.000696999	2.97124	0.000161521
0.42	1.71423	0.000865856	41.8611	0.0467725
0.42	1.60684	0.000672826	12.4413	0.00338652
0.42	4.5098	0.000509046	33.5722	0.018151
0.42	-0.235666	0.00112566	4.36825	0.00113349
0.43	-25.9778	0.000609343	0.845877	9.76033e-06
0.43	-0.741553	0.00119551	4.3951	0.00106021
0.43	0.443074	0.000973277	12.3673	0.00471228
0.43	1.10018	0.000885599	7.30407	0.00169668
0.43	1.37444	0.00101458	46.9133	0.0683064
0.43	1.44462	0.00081714	28.7453	0.0198076
0.43	2.78008	0.00071542	34.1906	0.0253031
0.43	5.36072	0.000614491	138.08	0.353996
0.43	0.0623212	0.000666054	8.00683	0.0011269
0.43	-0.501828	0.00088606	5.98422	0.00110083
0.43	-0.204145	0.000787016	8.69207	0.0015749
0.43	3.48945	0.000634284	-79.0183	0.134111
0.43	-20.0716	0.000802129	0.739284	1.18625e-05
0.43	2.48345	0.000682653	48.1937	0.0496771
0.43	0.295666	0.000777834	10.1583	0.0021545
0.43	1.18415	0.000799909	19.9182	0.0089704
0.44	-1.02202	0.00113324	6.2323	0.00147417
0.44	-0.582729	0.00159154	5.43316	0.00233506
0.44	0.362256	0.000964079	12.2376	0.00381362
0.44	-0.508766	0.00122962	7.49974	0.00247782
0.44	0.805592	0.00138014	45.3821	0.0839057
0.44	0.82068	0.00157494	191.394	1.88171
0.44	0.688615	0.00179263	283.156	4.73741
0.44	0.781536	0.00102899	20.8763	0.0124708
0.44	0.833426	0.00161482	337.022	6.115
0.44	1.01641	0.00124193	51.5237	0.099776
0.44	1.02374	0.00132163	116.218	0.573174
0.44	0.934329	0.0014512	298.171	4.29424
0.44	0.70093	0.00173967	165.341	1.53341
0.44	0.613855	0.00201435	1038.18	73.848
0.44	0.700862	0.00179487	329.545	6.47815
