#beta 	x0 	error 	csi 	error
0.4	-1.14979	0.000958524	0.87023	4.0488e-05
0.4	2.5285	0.00113679	11.7428	0.00988462
0.4	3.30649	0.00103934	10.8253	0.00824989
0.4	0.826911	0.00150206	4.05427	0.0019401
0.4	4.04734	0.00109132	22.0017	0.0304592
0.4	4.47718	0.000960355	-40.4487	0.0953439
0.4	1.69566	0.00136684	32.4181	0.0839005
0.4	-1.03945	0.00188718	2.20853	0.000787083
0.4	4.23935	0.00117191	102.42	0.707894
0.4	-8.8023	0.00100189	0.637576	2.15374e-05
0.4	45.0324	0.000549345	-0.527195	1.07098e-05
0.4	4.67522	0.000853212	-26.9318	0.0384337
0.4	-0.224273	0.00173172	3.09227	0.00131312
0.4	-25.6688	0.00100386	0.378246	8.85348e-06
0.4	1.51723	0.00149236	55.5243	0.272289
0.4	52.7659	0.000719995	-0.386692	8.62746e-06
0.41	-40.8361	0.00106494	0.299235	5.24058e-06
0.41	1.32646	0.00169189	37.7243	0.141042
0.41	1.21838	0.00191698	78.8585	0.710075
0.41	2.85388	0.00120654	18.5953	0.0249665
0.41	-1.6367	0.00171164	2.15403	0.000587394
0.41	-0.171225	0.00127913	3.60902	0.00103616
0.41	1.75403	0.00149062	111.17	1.10808
0.41	-15.4969	0.000820617	0.515813	1.05431e-05
0.41	-1.86262	0.00191424	2.27523	0.000723197
0.41	3.1115	0.000990824	-149.16	1.36505
0.41	15.7958	0.000509095	1.7541	8.61085e-05
0.41	12.8622	0.000643934	0.914716	2.90467e-05
0.41	-33.2265	0.00149176	0.291605	7.85733e-06
0.41	14.1046	0.00114073	2.35855	0.000435348
0.41	-1.60242	0.00202382	2.08464	0.000733189
0.41	36.172	0.000787862	-2.17714	0.000244004
0.42	-2.05461	0.00228397	2.03745	0.000791277
0.42	-0.162187	0.00116019	5.14968	0.00163435
0.42	-24.37	0.00102962	0.377538	7.80084e-06
0.42	52.4113	0.000603914	-0.413376	7.64769e-06
0.42	-27.0227	0.000887241	0.406548	7.31774e-06
0.42	-27.7685	0.000904428	0.461479	9.32069e-06
0.42	0.548129	0.00149904	3.88518	0.00159895
0.42	3.01007	0.00124581	18.2802	0.0217885
0.42	1.45207	0.00146787	23.3297	0.0460732
0.42	0.716944	0.00119595	7.51143	0.00367037
0.42	-1.17435	0.0020152	3.756	0.00171734
0.42	-1.17882	0.00150554	2.6347	0.000694971
0.42	-1.92171	0.00280405	2.06118	0.00105202
0.42	-0.693958	0.00177418	2.59286	0.000922765
0.42	0.973769	0.00210244	45.2125	0.250205
0.42	-14.5527	0.000871293	0.499283	1.01558e-05
0.43	0.897824	0.00234178	63.0907	0.548908
0.43	2.01637	0.00116274	40.1197	0.110372
0.43	3.79667	0.00112616	14.8868	0.0167875
0.43	3.95683	0.00110678	-689.341	31.0394
0.43	1.6836	0.00153996	67.5161	0.418282
0.43	0.0129297	0.00165025	2.93992	0.00110383
0.43	0.734906	0.0030697	851.698	135.975
0.43	2.06246	0.00150515	5.54659	0.00411646
0.43	1.26798	0.00215335	-442.619	26.046
0.43	3.98698	0.00121356	-42.6753	0.139613
0.43	0.439008	0.00180029	4.31714	0.00243571
0.43	0.734833	0.00310798	690.747	90.4326
0.43	0.64144	0.00325104	133.014	3.43849
0.43	0.428267	0.00177611	4.69312	0.00283423
0.43	1.17356	0.00182752	43.2364	0.199725
0.43	-0.129859	0.00166123	3.62117	0.00147572
0.44	0.688627	0.00270275	44.0089	0.302056
0.44	0.642213	0.00340367	1446.5	435.376
0.44	0.594218	0.00364885	34126.9	260476
0.44	0.916735	0.00270096	3017.23	1506.05
0.44	0.479519	0.00413859	1231.2	382.488
0.44	0.829773	0.00278607	700.468	83.2833
0.44	0.909962	0.00261195	1026.24	167.827
0.44	0.515081	0.00395215	938.295	211.918
0.44	0.701697	0.00308802	271.261	13.7238
0.44	0.61906	0.00354698	4614.83	4627.5
0.44	0.325753	0.00536678	2736.54	2454.29
0.44	0.904578	0.00263808	148.585	3.51303
0.44	0.683205	0.00333801	-20633.4	87271
0.44	0.646691	0.00337318	482.816	47.8447
0.44	0.497787	0.00406058	1526.8	578.128
0.44	0.414902	0.00462869	12625	45168.9
0.45	0.483607	0.00408098	730.827	132.573
0.45	0.354165	0.00515145	1398.64	614.775
0.45	2.21867	0.00144632	-95.1531	0.80733
0.45	0.510115	0.00398487	1400.75	477.14
0.45	0.501172	0.00400299	772.836	145.483
0.45	0.574425	0.00366997	1649.28	609.742
0.45	0.362116	0.00505558	6709.87	13922.5
0.45	0.375821	0.00491563	4276.19	5494.86
0.45	0.40338	0.00475205	3984.87	4618.7
0.45	0.372784	0.00496721	33105.2	333359
0.45	0.445251	0.00437421	1312.01	459.22
0.45	0.34175	0.00523329	2020.03	1304.12
0.45	0.639245	0.00342567	821.788	141.102
0.45	0.420111	0.00451634	632.828	109.914
0.45	0.562789	0.00274647	33.0012	0.169034
0.45	0.427276	0.00450251	1401.37	539.402
0.46	0.262653	0.00619898	7946.89	23952.2
0.46	0.347675	0.00518707	1996.41	1262.84
0.46	0.27936	0.00595794	6340.98	14654.2
0.46	0.457998	0.00424071	338.68	29.3696
0.46	0.309283	0.00561095	8598.12	25379.9
0.46	0.521441	0.00397575	-79582.9	1.5426e+06
0.46	0.353853	0.0051711	-10568.8	35406.3
0.46	0.409294	0.00468193	3926.44	4416.83
0.46	0.407685	0.00456655	560.852	87.1118
0.46	0.330149	0.00533532	2088.52	1420.42
0.46	0.55868	0.00375297	979.741	219.755
0.46	0.554825	0.00386038	599.8	84.777
0.46	0.543985	0.00370644	166.453	6.14186
0.46	0.546083	0.00363896	261.042	14.9295
0.46	0.40517	0.00456403	326.989	29.405
0.46	0.396352	0.00471503	906.84	236.04
0.47	0.277771	0.00602845	12413.5	56907.6
0.47	0.253911	0.00632696	7348.89	20905.4
0.47	0.264921	0.00617717	-46662.1	823814
0.47	0.273907	0.00607699	-23254.9	201395
0.47	0.25834	0.00626694	4542.09	7907.62
0.47	0.342267	0.00511643	697.209	150.935
0.47	0.337852	0.00525388	1272.04	517.792
0.47	0.381761	0.00469456	345.171	33.6984
0.47	0.381021	0.00490527	1077.77	347.515
0.47	0.174384	0.00790621	4307.57	8961.91
0.47	0.236329	0.00663785	-166692	1.12973e+07
0.47	0.208851	0.00710818	7241.03	22793.4
0.47	0.156073	0.00844143	1.59964e+06	1.32242e+09
0.47	0.235212	0.00660467	4074.02	6699.07
