# nm = 1024 nc = 100 len = 100 extf = 0 beta = 0.41
#energy 	magnetization 	acceptance
-1.1544	0.0308	0.298114
-1.1532	0.0616	0.2986
-1.1092	0.0296	0.297588
-1.1348	-0.0058	0.298637
-1.1768	0.053	0.300252
-1.1656	-0.0422	0.292088
-1.1192	0.0038	0.297764
-1.1528	0.0318	0.305854
-1.17	-0.0722	0.296128
-1.1388	-0.096	0.300071
-1.1632	-0.0004	0.30188
-1.1508	-0.0122	0.308689
-1.1376	-0.1584	0.298675
-1.1636	-0.1122	0.307677
-1.1936	-0.0158	0.299194
-1.1032	-0.0988	0.294585
-1.146	0.032	0.296816
-1.1864	0.1206	0.301115
-1.1548	0.154	0.292101
-1.1744	0.1688	0.300994
-1.132	0.0278	0.299239
-1.1352	0.1054	0.299778
-1.1976	0.0204	0.298753
-1.258	0.0224	0.29017
-1.2012	-0.0206	0.290015
-1.1632	-0.1604	0.299901
-1.1612	-0.0618	0.300839
-1.1284	-0.0788	0.302707
-1.1804	-0.1268	0.294436
-1.1412	0.049	0.300899
-1.1208	0.063	0.303284
-1.15	0.203	0.304722
-1.1568	-0.0248	0.304475
-1.1184	0.0508	0.299988
-1.1504	0.0126	0.302919
-1.1364	0.163	0.299076
-1.1756	0.1224	0.301009
-1.1668	0.1306	0.300913
-1.1272	0.1356	0.299665
-1.184	-0.0028	0.294132
-1.1292	0.0638	0.300541
-1.1536	0.118	0.298585
-1.1716	-0.0442	0.299515
-1.154	0.0256	0.295897
-1.1948	0.161	0.291711
-1.154	0.1034	0.294374
-1.1892	0.2306	0.294836
-1.1636	0.1344	0.297411
-1.1604	-0.0856	0.297982
-1.1548	-0.1462	0.299479
-1.186	0.0038	0.297876
-1.1316	0.086	0.302733
-1.1596	-0.0524	0.304526
-1.1976	0.2036	0.301646
-1.2272	0.2354	0.288005
-1.1668	0.1924	0.290429
-1.1724	0.1152	0.295166
-1.1676	0.0892	0.302704
-1.1772	-0.0588	0.298178
-1.1648	-0.1222	0.300211
-1.1528	-0.0212	0.297347
-1.1764	-0.0156	0.300138
-1.1308	-0.0696	0.303724
-1.1436	-0.0698	0.301467
-1.1864	-0.1194	0.29974
-1.188	0.053	0.300736
-1.2132	0.0762	0.302912
-1.1464	0.0774	0.29904
-1.2056	-0.0142	0.29804
-1.1896	-0.0882	0.288602
-1.188	-0.1106	0.29744
-1.1436	-0.0546	0.291592
-1.1524	-0.1842	0.304748
-1.1576	0.0314	0.300806
-1.222	-0.0236	0.300389
