#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.4	-1.10672 	0.000622157 	0.00085918 	0.00410132	5.13676 	0.208594 	60.3236 	2.99842	1.00168 	7.43748e-05 	2.73321 	0.102955
0.405	-1.13398 	0.000697083 	-0.00122598 	0.00511724	5.32734 	0.274456 	78.9488 	4.58912	1.00166 	7.88673e-05 	2.7422 	0.114386
0.41	-1.16299 	0.000707397 	0.00583516 	0.00488726	6.17384 	0.266153 	93.4219 	4.54121	1.00183 	8.76158e-05 	2.83634 	0.106752
0.415	-1.1933 	0.000756827 	0.0145342 	0.00788174	5.96496 	0.317733 	134.776 	9.72807	1.00168 	8.45945e-05 	2.81035 	0.126949
0.42	-1.22737 	0.000758458 	0.0118834 	0.0103564	6.93186 	0.265964 	206.868 	14.4335	1.00184 	6.44902e-05 	2.68585 	0.123589
0.425	-1.26095 	0.000937668 	-0.0196055 	0.0207194	7.88954 	0.349854 	315.885 	35.5103	1.00199 	8.22081e-05 	2.94682 	0.238922
0.43	-1.30203 	0.00169323 	-0.02896 	0.0403532	8.33393 	0.359616 	645.533 	86.9771	1.00197 	8.81019e-05 	2.36378 	0.215496
0.435	-1.34649 	0.00253172 	0.018401 	0.0637049	10.7547 	0.710898 	1196.47 	171.799	1.00238 	0.000133586 	1.95674 	0.190993
0.44	-1.41421 	0.00310831 	0.575499 	0.0172706	11.6367 	0.829196 	143.799 	32.5245	1.00232 	0.000177119 	1.12764 	0.033003
0.445	-1.46973 	0.00192028 	0.684436 	0.00911868	9.76175 	0.555375 	62.7103 	20.4193	1.0018 	0.000102004 	1.0413 	0.0126303
0.45	-1.51353 	0.00141138 	0.748956 	0.00452177	7.81119 	0.366108 	23.1986 	5.53768	1.00136 	6.47377e-05 	1.01483 	0.00348459
0.455	-1.5497 	0.000956324 	-0.788023 	0.00150958	7.08806 	0.261391 	9.66593 	0.88666	1.00118 	4.71384e-05 	1.00599 	0.000546647
0.46	-1.58149 	0.000770962 	-0.813763 	0.000723033	6.17346 	0.28854 	6.31276 	0.365607	1.00099 	4.4146e-05 	1.0037 	0.000227046
0.465	-1.60968 	0.000685168 	0.835006 	0.000944524	5.20009 	0.190379 	4.46154 	0.544517	1.0008 	3.13441e-05 	1.00249 	0.000269754
0.47	-1.63491 	0.00063897 	-0.852828 	0.000494508	4.85753 	0.194015 	2.63925 	0.123105	1.00073 	2.85843e-05 	1.00144 	6.94741e-05
0.475	-1.65679 	0.000439819 	-0.865699 	0.000376896	4.08309 	0.16809 	1.95257 	0.0850925	1.00059 	2.40991e-05 	1.00103 	4.5031e-05
0.48	-1.67743 	0.000765361 	-0.877178 	0.000466776	3.89676 	0.152928 	1.73487 	0.174845	1.00055 	2.28594e-05 	1.00089 	8.13288e-05
0.485	-1.69662 	0.000511996 	0.887713 	0.000353112	3.31277 	0.145064 	1.27813 	0.0697475	1.00046 	1.74103e-05 	1.00065 	3.59065e-05
0.49	-1.71411 	0.000658375 	0.896445 	0.000331956	3.39987 	0.143259 	1.08517 	0.0462963	1.00046 	1.72345e-05 	1.00054 	2.38996e-05
0.495	-1.73072 	0.000540633 	-0.90427 	0.00025757	3.15835 	0.138652 	0.982048 	0.0476746	1.00042 	1.84742e-05 	1.00048 	2.36074e-05
0.5	-1.74574 	0.000550483 	-0.911474 	0.000293653	2.97683 	0.117753 	0.800922 	0.0289788	1.00039 	1.72304e-05 	1.00038 	1.33451e-05
