#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.4	-1.18401 	0.00300426 	-0.000761719 	0.00884623	7.06687 	0.100094 	35.3565 	0.294432	1.19529 	0.00273157 	1.53187 	0.00999808
0.401	-1.18913 	0.00295914 	-0.000383301 	0.00854233	6.97636 	0.102668 	35.7265 	0.285924	1.19091 	0.00249241 	1.51728 	0.00783093
0.402	-1.20179 	0.00284573 	0.00432861 	0.00807257	7.30145 	0.120599 	36.9647 	0.280239	1.19494 	0.00292836 	1.49876 	0.00773393
0.403	-1.20721 	0.00337537 	0.00373047 	0.00822538	7.33497 	0.0922941 	37.3273 	0.300619	1.1916 	0.0022526 	1.49349 	0.00801663
0.404	-1.2133 	0.00292085 	-0.00989258 	0.00992421	7.22811 	0.0997309 	37.704 	0.290098	1.18891 	0.00266659 	1.4835 	0.0080852
0.405	-1.22027 	0.00273373 	0.00476074 	0.00996804	7.12526 	0.100268 	38.4834 	0.273931	1.18328 	0.00259334 	1.46442 	0.00779961
0.406	-1.22279 	0.00295884 	0.00766113 	0.00962017	7.27029 	0.0951271 	38.9476 	0.310242	1.1853 	0.00239769 	1.45825 	0.00747503
0.407	-1.23511 	0.00266088 	-0.00629883 	0.00944213	7.2976 	0.0858019 	39.8228 	0.293422	1.18134 	0.0020685 	1.44237 	0.00708599
0.408	-1.24138 	0.00281806 	-0.0174292 	0.0094747	7.17722 	0.108101 	40.2733 	0.297812	1.17632 	0.00234961 	1.43031 	0.00687954
0.409	-1.25161 	0.00296268 	0.0144897 	0.00980405	7.47054 	0.0992069 	41.2667 	0.276945	1.18013 	0.00236355 	1.41619 	0.00634971
0.41	-1.2572 	0.00310156 	0.0296143 	0.0101533	7.31981 	0.0969445 	41.6783 	0.287218	1.1736 	0.00242949 	1.40636 	0.00677546
0.411	-1.26879 	0.00301828 	-0.0183984 	0.0101282	7.30982 	0.101106 	42.5094 	0.291739	1.1708 	0.00241282 	1.39455 	0.00697113
0.412	-1.27545 	0.00297701 	-0.00276611 	0.011606	7.43275 	0.0879502 	43.5069 	0.278405	1.17026 	0.0021884 	1.37959 	0.00637341
0.413	-1.27952 	0.00326477 	0.00989258 	0.0116519	7.28967 	0.09825 	43.5933 	0.284963	1.1663 	0.00228471 	1.3744 	0.00604776
0.414	-1.28811 	0.00338564 	0.0140405 	0.0110638	7.36627 	0.109844 	44.4841 	0.33278	1.16657 	0.00227098 	1.3616 	0.00704708
0.415	-1.29885 	0.00272104 	-0.0121875 	0.0118792	7.35811 	0.0879711 	45.228 	0.290859	1.16284 	0.00214182 	1.35247 	0.00589549
0.416	-1.30356 	0.00319506 	-0.0136841 	0.0134276	7.47591 	0.104427 	45.7619 	0.320028	1.16417 	0.00215938 	1.34788 	0.00671201
0.417	-1.30883 	0.00323611 	0.0223291 	0.0117414	7.36103 	0.108578 	46.415 	0.332643	1.15942 	0.00224469 	1.33057 	0.00599047
0.418	-1.31928 	0.00325259 	0.00159912 	0.0132736	7.51663 	0.0948453 	47.2409 	0.326671	1.15897 	0.00224008 	1.32737 	0.00641718
0.419	-1.31937 	0.00310779 	0.000119629 	0.0127467	7.31745 	0.091801 	47.028 	0.312333	1.15522 	0.00210376 	1.32706 	0.00623211
0.42	-1.33514 	0.00279958 	-0.0108154 	0.0148897	7.39077 	0.107872 	48.545 	0.290387	1.15224 	0.00233414 	1.30646 	0.00553731
0.421	-1.33453 	0.00307214 	0.0135449 	0.0142208	7.4058 	0.0994307 	48.6365 	0.314249	1.15262 	0.00228849 	1.30228 	0.0062693
0.422	-1.34268 	0.00317617 	0.0224048 	0.0144143	7.34077 	0.0982887 	49.3646 	0.312445	1.14934 	0.00202385 	1.2922 	0.00570231
0.423	-1.35264 	0.00248036 	-0.0220435 	0.0138758	7.15428 	0.105109 	50.0961 	0.280578	1.14404 	0.00196946 	1.28455 	0.00477948
0.424	-1.3561 	0.00295137 	0.013728 	0.0140278	7.20457 	0.0899194 	50.2729 	0.28063	1.14426 	0.00182707 	1.28129 	0.0047708
0.425	-1.36459 	0.00255019 	0.0165039 	0.0159726	7.2931 	0.102183 	51.1817 	0.287314	1.1431 	0.00197491 	1.27041 	0.00564588
0.426	-1.373 	0.00228559 	-0.0139478 	0.0164586	7.24703 	0.0953193 	52.0287 	0.255425	1.14104 	0.00189066 	1.26055 	0.00411164
0.427	-1.38778 	0.00275255 	0.00806885 	0.0152648	7.27665 	0.084729 	53.2464 	0.286478	1.1368 	0.0017406 	1.24952 	0.00496235
0.428	-1.38984 	0.00290194 	0.0147559 	0.0164087	7.06734 	0.104638 	53.402 	0.295692	1.13241 	0.00201308 	1.24325 	0.00485862
0.429	-1.39741 	0.00276485 	-0.0164502 	0.0173224	6.94411 	0.104666 	54.4051 	0.274703	1.12877 	0.00179849 	1.22777 	0.00451298
0.43	-1.40539 	0.00278782 	0.00856934 	0.0186301	7.04278 	0.0840768 	55.0162 	0.30397	1.12892 	0.00185203 	1.2242 	0.00405788
0.431	-1.40733 	0.00282606 	-0.00115967 	0.0186053	7.2622 	0.10888 	55.0656 	0.281382	1.13215 	0.00189949 	1.2295 	0.00402266
0.432	-1.41565 	0.00281679 	-0.0108545 	0.0191932	7.07631 	0.088077 	55.7875 	0.284236	1.12753 	0.001717 	1.21966 	0.00374516
0.433	-1.42455 	0.00310172 	0.00652832 	0.0194336	6.97376 	0.0978635 	56.5478 	0.2814	1.12358 	0.00178246 	1.21016 	0.00379437
