#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10635 	0 	0.062075 	0	4.02539 	0 	22.855 	0	1.00131 	-nan 	2.79945 	-nan
0.41	-1.15581 	0 	0.0669125 	0	6.9459 	0 	28.9505 	0	1.00206 	-nan 	3.22245 	-nan
0.42	-1.2224 	0 	0.0964875 	0	10.6148 	0 	72.085 	0	1.00284 	-nan 	3.57927 	-nan
0.43	-1.29082 	0 	0.150475 	0	5.83501 	0 	103.304 	0	1.00142 	-nan 	2.07878 	-nan
0.44	-1.41395 	0 	0.481375 	0	16.5615 	0 	384.831 	0	1.0033 	-nan 	1.39319 	-nan
0.45	-1.51068 	0 	0.75155 	0	6.67949 	0 	18.375 	0	1.00117 	-nan 	1.01209 	-nan
0.46	-1.59504 	0 	0.820162 	0	4.57451 	0 	10.5946 	0	1.00072 	-nan 	1.00578 	-nan
0.47	-1.61332 	0 	0.728925 	0	10.9155 	0 	515.296 	0	1.00169 	-nan 	1.17932 	-nan
0.48	-1.68019 	0 	0.876375 	0	1.92736 	0 	1.00024 	0	1.00027 	-nan 	1.00052 	-nan
0.49	-1.71739 	0 	0.899162 	0	4.57113 	0 	1.15261 	0	1.00062 	-nan 	1.00057 	-nan
0.5	-1.73821 	0 	0.907913 	0	2.80981 	0 	0.981048 	0	1.00037 	-nan 	1.00048 	-nan
