# nm = 8192 nc = 100 len = 10 extf = 0 beta = 0.497
#energy 	magnetization 	acceptance
-1.8	0.92	0.0824
-1.92	0.98	0.0801
-1.76	0.92	0.0763
-1.8	-0.94	0.1425
-1.6	-0.88	0.0775
-2	-1	0.0624
-1.8	-0.94	0.0781
-1.56	-0.84	0.0605
-1.64	-0.9	0.0709
-1.84	-0.96	0.0851
-1.72	-0.9	0.0901
-1.6	-0.9	0.0642
-1.88	-0.96	0.0747
-1.8	-0.94	0.0743
-1.48	-0.68	0.0809
-1.92	-0.98	0.1281
-1.84	-0.96	0.0741
-1.8	-0.94	0.0663
-1.72	-0.9	0.0812
-1.72	-0.92	0.0865
-1.76	-0.92	0.0804
-2	-1	0.0656
-1.64	-0.9	0.0895
-2	-1	0.0931
-1.76	-0.94	0.0797
-1.84	-0.96	0.0823
-1.92	-0.98	0.0789
-1.48	-0.84	0.0887
-1.8	-0.94	0.0627
-1.56	-0.86	0.0738
-1.76	-0.94	0.0692
-1.56	-0.84	0.0829
-1.56	-0.88	0.0706
-1.44	-0.8	0.0836
-1.92	-0.98	0.0801
-1.6	-0.86	0.0768
-1.76	-0.94	0.0728
-1.64	-0.86	0.0788
-1.76	-0.92	0.0711
-1.56	-0.88	0.062
-1.6	-0.88	0.1156
-1.76	-0.94	0.0827
-2	-1	0.0717
-1.4	-0.78	0.1023
-1.84	-0.96	0.0895
-1.8	-0.94	0.0863
-1.8	-0.94	0.0728
-1.88	-0.96	0.0767
-1.84	-0.96	0.1002
-1.92	-0.98	0.0845
-1.72	-0.9	0.0682
-2	-1	0.0849
-1.76	-0.94	0.0679
-1.88	-0.96	0.0691
-1.56	-0.88	0.0984
-1.88	-0.96	0.0852
-1.6	-0.76	0.0734
-1.88	-0.96	0.071
-1.76	-0.94	0.0773
-1.64	-0.9	0.0868
-1.68	-0.9	0.086
-2	-1	0.0835
-1.84	-0.96	0.0692
-1.76	-0.92	0.0756
-1.76	-0.94	0.1041
-1.64	-0.9	0.0752
-1.68	-0.88	0.1261
-1.8	-0.94	0.0699
-1.88	-0.96	0.0763
-2	-1	0.0788
-1.84	-0.92	0.08
-1.8	-0.94	0.0845
-1.72	-0.9	0.1082
-1.92	-0.98	0.08
-1.64	-0.86	0.0796
-2	-1	0.0633
-1.68	-0.9	0.0707
-1.88	-0.96	0.0837
-1.32	-0.6	0.1008
-2	-1	0.0928
-1.76	-0.92	0.097
-1.72	-0.92	0.0756
-1.92	-0.98	0.0767
-1.24	-0.48	0.1107
-2	-1	0.0888
-1.72	-0.92	0.0652
-1.8	-0.94	0.0959
-1.52	-0.84	0.0717
-1.92	-0.98	0.0691
-1.6	-0.86	0.1034
-1.84	-0.96	0.0891
-1.92	-0.98	0.0731
-1.64	-0.86	0.0878
-1.72	-0.92	0.0715
-1.68	-0.9	0.0839
-2	-1	0.0847
-1.16	0.24	0.1632
-1.6	0.88	0.1366
-1.44	0.8	0.0846
-1.6	0.88	0.0676
-1.48	0.82	0.0815
-1.64	0.9	0.1252
-1.92	0.98	0.079
-1.8	0.94	0.0824
-1.84	0.96	0.0739
-1.72	0.92	0.0912
-1.6	0.88	0.0992
-1.88	0.96	0.09
-2	1	0.077
-1.6	0.74	0.1299
-2	1	0.0919
-1.84	0.96	0.0958
-1.68	0.9	0.0717
-1.92	0.98	0.068
-1.52	0.84	0.0765
-1.84	0.96	0.0696
-1.76	0.92	0.0816
-2	1	0.084
-1.28	0.58	0.0899
-1.68	0.92	0.0837
-1.92	0.98	0.0801
-1.72	0.88	0.0661
-1.72	0.92	0.0602
-1.72	0.88	0.0772
-1.68	0.9	0.0745
-1.6	0.9	0.061
-1.72	0.92	0.0797
-1.32	0.76	0.088
-1.92	0.98	0.0759
-1.76	0.92	0.0725
-1.52	0.86	0.0929
-1.52	0.84	0.0697
-1.84	0.96	0.0778
-1.84	0.92	0.0674
-1.56	0.82	0.0799
-1.88	0.96	0.0971
-1.68	0.92	0.1028
-1.52	0.78	0.0777
-1.6	0.76	0.0823
-1.8	0.94	0.0793
-1.64	0.88	0.0963
-2	1	0.0744
-1.84	0.96	0.0884
-1.84	0.94	0.0671
-1.68	0.9	0.0758
-1.72	0.92	0.0667
-1.92	0.98	0.0657
-1.56	0.82	0.0806
-1.88	0.96	0.0735
-1.72	0.92	0.0926
-2	1	0.0642
-1.8	0.94	0.1035
-1.84	0.96	0.0797
-1.76	0.94	0.0785
-1.48	0.86	0.0886
-1.92	0.98	0.0826
-1.76	0.94	0.0764
-1.36	0.78	0.06
-1.76	0.94	0.0948
-1.8	0.94	0.0712
-1.44	0.82	0.0632
-1.76	0.94	0.074
-1.56	0.86	0.087
-1.92	0.98	0.063
-1.92	0.98	0.0794
-1.92	0.98	0.073
-1.52	0.84	0.0725
-1.64	0.86	0.0661
-2	1	0.0977
-1.72	0.9	0.0979
-1.52	0.86	0.0552
-1.72	0.92	0.0677
-1.92	0.98	0.0717
-1.92	0.98	0.0734
-1.8	0.94	0.08
-1.92	0.98	0.0706
-1.68	0.9	0.1026
-1.8	0.94	0.0812
-1.84	0.92	0.0701
-1.72	0.92	0.0838
-1.44	0.8	0.084
-1.44	0.66	0.0887
-1.68	0.9	0.0922
-1.56	0.82	0.0652
-1.4	0.76	0.0827
-1.68	0.92	0.0926
-1.76	0.94	0.0901
-1.84	0.96	0.0723
-1.72	0.92	0.0688
-1.56	0.86	0.1047
-1.64	0.86	0.0672
-1.4	0.68	0.0915
-1.72	0.84	0.0712
-1.56	0.72	0.0848
-1.72	0.84	0.0918
