# nm = 1024 nc = 100 len = 50 extf = 0 beta = 0.454
#energy 	magnetization 	acceptance
-1.5504	0.7848	0.158156
-1.52	0.776	0.14982
-1.5488	0.788	0.142796
-1.3936	0.6112	0.166708
-1.44	0.5256	0.186444
-1.4496	0.5256	0.200008
-1.4256	0.4744	0.1828
-1.3792	0.164	0.207448
-1.4032	0.424	0.208156
-1.3936	0.2744	0.198484
-1.416	0.4328	0.1858
-1.4368	0.588	0.188688
-1.5296	0.7896	0.174264
-1.5472	0.8328	0.147336
-1.5152	0.8072	0.14196
-1.5664	0.8416	0.140636
-1.56	0.7944	0.148372
-1.5216	0.8088	0.139024
-1.552	0.788	0.14444
-1.5136	0.7792	0.143468
-1.5328	0.8016	0.143928
-1.5344	0.804	0.16334
-1.5504	0.8064	0.139196
-1.4896	0.7	0.167196
-1.528	0.78	0.157888
-1.5568	0.8128	0.141308
-1.6352	0.8536	0.1479
-1.544	0.812	0.14256
-1.6016	0.848	0.140652
-1.5152	0.8024	0.14806
-1.5744	0.7936	0.16334
-1.552	0.784	0.159472
-1.6128	0.8424	0.137988
-1.4672	0.6504	0.161904
-1.5088	0.7632	0.166372
-1.608	0.8224	0.164904
-1.5904	0.7984	0.151488
-1.6224	0.8016	0.151096
-1.5408	0.7368	0.165116
-1.5392	0.78	0.151448
-1.6144	0.856	0.14618
-1.5376	0.8272	0.133368
-1.5856	0.8312	0.138556
-1.5344	0.8008	0.139224
-1.6016	0.8368	0.14598
-1.5424	0.808	0.137776
-1.5648	0.832	0.1408
-1.6144	0.8464	0.14984
-1.4784	0.7384	0.159308
-1.6208	0.8568	0.157376
-1.512	0.792	0.146572
-1.6048	0.8488	0.15166
-1.4848	0.7192	0.145
-1.616	0.8608	0.146292
-1.6464	0.8656	0.136456
-1.5744	0.8128	0.151816
-1.5808	0.8344	0.151844
-1.552	0.8208	0.149212
-1.4752	0.6528	0.164464
-1.5536	0.8064	0.162104
-1.5088	0.7768	0.143028
-1.6176	0.8272	0.163412
-1.5312	0.6768	0.162264
-1.5312	0.7736	0.159092
-1.592	0.788	0.155064
-1.5024	0.7656	0.155976
-1.576	0.824	0.145364
-1.4528	0.7232	0.159816
-1.568	0.7784	0.173476
-1.5984	0.8376	0.146712
-1.5376	0.8168	0.152368
-1.5056	0.7584	0.151852
-1.528	0.78	0.16722
-1.4976	0.8024	0.147336
-1.5328	0.7808	0.137644
-1.552	0.804	0.147868
-1.5984	0.8384	0.148068
-1.6016	0.8392	0.159308
-1.4432	0.6832	0.168236
-1.6048	0.8384	0.147576
-1.5728	0.836	0.133172
-1.6096	0.804	0.14916
-1.5168	0.6128	0.163372
-1.5648	0.8248	0.169804
-1.6016	0.82	0.152816
-1.4704	0.6728	0.154528
-1.504	0.7872	0.162404
-1.6208	0.8608	0.14612
-1.488	0.7784	0.14902
-1.5904	0.8416	0.159068
-1.5424	0.7888	0.139592
-1.5472	0.8216	0.15346
-1.6016	0.8312	0.138648
-1.5904	0.8432	0.15546
-1.5344	0.8024	0.136852
-1.5664	0.7872	0.15702
-1.5456	0.8232	0.151244
-1.6192	0.8472	0.13344
-1.456	0.596	0.164344
-1.5664	0.8144	0.1687
-1.48	0.732	0.154732
-1.5312	0.82	0.147256
-1.6016	0.8432	0.144492
-1.5136	0.772	0.148428
-1.5168	0.7376	0.159188
-1.464	0.732	0.16166
-1.5936	0.8528	0.14978
-1.5984	0.8112	0.143832
-1.5328	0.788	0.153956
-1.5936	0.8368	0.141876
-1.5632	0.8424	0.137716
-1.5632	0.7952	0.140364
-1.648	0.8736	0.141848
-1.4592	0.7576	0.143444
-1.5856	0.8144	0.151188
-1.5776	0.8336	0.146648
-1.5296	0.7552	0.149768
-1.5856	0.8264	0.141876
-1.5296	0.7808	0.148652
-1.5264	0.7232	0.148408
-1.4976	0.6928	0.171408
-1.5408	0.8176	0.153488
-1.6144	0.8488	0.136868
-1.552	0.808	0.143628
-1.592	0.8288	0.144968
-1.6048	0.856	0.15188
-1.5184	0.7544	0.13834
-1.552	0.7872	0.1567
-1.5584	0.8168	0.141052
-1.4944	0.728	0.157044
-1.5632	0.8184	0.14642
-1.456	0.752	0.157532
-1.592	0.8368	0.145512
-1.5504	0.8288	0.160064
-1.5408	0.784	0.143928
-1.5184	0.7656	0.164652
-1.4496	0.696	0.15502
-1.4864	0.784	0.165568
-1.5904	0.8552	0.135916
-1.5968	0.8504	0.14668
-1.496	0.7808	0.15086
-1.5584	0.7952	0.148816
-1.504	0.788	0.159004
-1.472	0.7168	0.15462
-1.4992	0.748	0.158804
-1.5328	0.8128	0.145516
-1.5568	0.8208	0.141024
-1.6176	0.8568	0.142308
-1.592	0.8464	0.135804
-1.504	0.78	0.143916
-1.5488	0.8016	0.133772
-1.5712	0.8328	0.143412
-1.5072	0.788	0.156672
-1.5888	0.8376	0.148216
-1.4688	0.6488	0.149608
-1.5088	0.7376	0.165316
-1.4656	0.7688	0.166644
-1.5408	0.824	0.143556
-1.5712	0.7864	0.151956
-1.48	0.7584	0.148524
-1.5712	0.8392	0.154916
-1.5648	0.8024	0.145768
-1.4944	0.7392	0.150012
-1.5264	0.568	0.177648
-1.4288	0.5408	0.18004
-1.3792	0.5472	0.186584
-1.4832	0.5424	0.167064
-1.4352	0.656	0.180472
-1.5248	0.792	0.163752
-1.4944	0.7688	0.143012
-1.504	0.7168	0.169772
-1.4544	0.764	0.161596
-1.5328	0.6848	0.154284
-1.6144	0.8592	0.158272
-1.6016	0.8296	0.144804
-1.5664	0.828	0.146504
-1.5632	0.7896	0.139568
-1.6416	0.8224	0.153676
-1.4608	0.76	0.159936
-1.6096	0.8488	0.14386
-1.4928	0.7464	0.14356
-1.584	0.8208	0.152308
-1.5408	0.808	0.149224
-1.5456	0.8232	0.149364
-1.6128	0.836	0.138408
-1.5776	0.812	0.140968
-1.6112	0.8312	0.138064
-1.4832	0.7176	0.144464
-1.4528	0.752	0.166044
-1.5472	0.764	0.1655
-1.6064	0.8616	0.144824
-1.624	0.8416	0.150052
-1.4912	0.7536	0.152864
-1.5008	0.776	0.158584
-1.5328	0.7848	0.155116
-1.5056	0.7328	0.15006
-1.544	0.8104	0.150068
-1.5792	0.812	0.148144
-1.5808	0.7976	0.150704
-1.4304	0.6992	0.15666
-1.5472	0.5944	0.178892
-1.5296	0.648	0.16522
-1.5856	0.8104	0.17462
-1.5072	0.768	0.155196
-1.4656	0.7512	0.149908
-1.5536	0.8128	0.145428
-1.6112	0.8352	0.15648
-1.6688	0.8848	0.140312
-1.5216	0.7728	0.149128
-1.488	0.6992	0.160608
-1.5264	0.7592	0.169972
-1.4896	0.7528	0.159064
-1.5728	0.8184	0.14984
-1.5344	0.756	0.14236
-1.464	0.6696	0.164312
-1.5344	0.6952	0.164736
-1.4928	0.7688	0.147568
-1.6496	0.8656	0.135692
-1.5776	0.8048	0.151768
-1.5152	0.7744	0.151624
-1.5792	0.7672	0.150596
-1.5008	0.7272	0.15332
-1.472	0.7624	0.141152
-1.5552	0.7904	0.155508
-1.5392	0.824	0.15612
-1.6128	0.8104	0.141284
-1.5552	0.784	0.155444
-1.5568	0.8232	0.156188
-1.5392	0.8	0.143684
-1.5296	0.776	0.14464
-1.496	0.756	0.153668
-1.44	0.7392	0.160244
-1.5952	0.8384	0.14004
-1.5376	0.7544	0.139644
-1.4576	0.7008	0.167996
-1.544	0.7904	0.171608
-1.5024	0.7224	0.149956
-1.496	0.7808	0.152588
-1.5216	0.7608	0.143084
-1.5312	0.7912	0.145616
-1.5664	0.8072	0.138688
-1.4608	0.6472	0.161096
-1.4816	0.7608	0.154208
-1.5408	0.8104	0.148552
-1.5264	0.7864	0.144064
-1.512	0.7512	0.156408
-1.5552	0.7712	0.159716
-1.5584	0.8256	0.156496
-1.5712	0.8384	0.146064
-1.5616	0.8088	0.143588
-1.5568	0.8184	0.14232
-1.4864	0.7536	0.14338
-1.5904	0.8432	0.14572
-1.5232	0.7256	0.148604
-1.584	0.8072	0.1606
-1.616	0.8384	0.143804
-1.6	0.8464	0.132968
-1.5664	0.812	0.145076
-1.6064	0.8176	0.142188
-1.5968	0.8376	0.143764
-1.504	0.7816	0.153928
-1.4944	0.7904	0.14482
-1.5808	0.8312	0.144492
-1.56	0.8112	0.144052
-1.568	0.8136	0.143332
-1.5024	0.7848	0.144696
-1.6192	0.8472	0.143008
-1.5552	0.8032	0.148676
-1.544	0.7664	0.161008
-1.5408	0.7872	0.156704
-1.4864	0.7936	0.140368
-1.5456	0.808	0.14164
-1.5824	0.8304	0.166248
-1.4976	0.764	0.150716
-1.5856	0.8408	0.154336
-1.6032	0.844	0.141864
-1.512	0.7184	0.149452
-1.568	0.8296	0.158196
-1.5744	0.836	0.14944
-1.5648	0.8088	0.154304
-1.4432	0.7128	0.141928
-1.576	0.8112	0.156996
-1.4384	0.7424	0.149072
-1.5232	0.792	0.157096
-1.5872	0.8312	0.154268
-1.5296	0.7112	0.150344
-1.488	0.6632	0.163368
-1.5472	0.808	0.168356
-1.4928	0.7136	0.160064
-1.5888	0.844	0.153468
