#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10508 	0.000954416 	0.0798333 	0.00199389	5.30723 	0.209842 	21.9707 	1.09165	1.00271 	0.000106749 	2.76263 	0.0713464
0.401	-1.11165 	0.00110231 	0.0798101 	0.00198654	5.45574 	0.26799 	24.1891 	1.37802	1.00276 	0.00012179 	3.25773 	0.263734
0.402	-1.11707 	0.000975125 	0.082672 	0.00225876	5.5622 	0.29827 	25.2291 	1.12633	1.00279 	0.000144499 	2.80316 	0.0866739
0.403	-1.12118 	0.000792224 	0.0808361 	0.00270243	5.51274 	0.238956 	24.3906 	1.37616	1.00275 	0.000123394 	2.92799 	0.106777
0.404	-1.128 	0.00112494 	0.0906783 	0.0020295	5.74225 	0.226308 	28.9827 	1.23707	1.00283 	0.000106361 	2.86566 	0.127451
0.405	-1.13422 	0.000670861 	0.0860543 	0.00317611	5.37672 	0.214854 	28.2141 	2.13079	1.00261 	0.000105551 	2.9946 	0.141977
0.406	-1.14067 	0.000866521 	0.0935741 	0.00290496	5.58052 	0.289127 	30.1855 	1.78624	1.00268 	0.000135689 	2.87241 	0.104092
0.407	-1.14617 	0.000976472 	0.0957793 	0.0022588	5.58499 	0.234003 	30.5353 	1.73225	1.00266 	0.0001167 	2.72114 	0.133778
0.408	-1.15101 	0.000888201 	0.0940841 	0.00265083	5.93403 	0.319494 	30.0795 	1.55483	1.0028 	0.000154757 	2.82415 	0.162289
0.409	-1.15767 	0.000691616 	0.0978417 	0.00343135	6.07033 	0.267837 	37.6891 	2.82455	1.00284 	0.000123135 	3.02953 	0.15094
0.41	-1.16191 	0.000882773 	0.104296 	0.00312462	5.79006 	0.265761 	36.898 	2.12967	1.00268 	0.000128218 	2.7789 	0.138077
0.411	-1.16998 	0.000764835 	0.105236 	0.00352032	6.03383 	0.263975 	38.2907 	2.41878	1.00276 	0.000124356 	2.67181 	0.115786
0.412	-1.17547 	0.000872777 	0.102399 	0.00264559	6.05377 	0.283838 	37.3403 	1.90027	1.00274 	0.000122645 	2.81969 	0.130043
0.413	-1.18165 	0.00105295 	0.115999 	0.00338104	6.12112 	0.310541 	43.5642 	2.29249	1.00275 	0.000143255 	2.61676 	0.100004
0.414	-1.18806 	0.0010008 	0.116265 	0.00328949	6.45243 	0.234444 	43.9778 	2.91622	1.00287 	0.000100127 	2.71752 	0.0779739
0.415	-1.19482 	0.00100885 	0.114221 	0.00365051	6.37857 	0.301877 	46.1319 	2.18991	1.00279 	0.000140081 	2.88706 	0.0977455
0.416	-1.20123 	0.0010501 	0.121505 	0.00531031	6.0498 	0.229854 	49.6142 	3.62798	1.00262 	0.000108105 	2.63802 	0.111186
0.417	-1.20607 	0.00112423 	0.12692 	0.00543683	6.89357 	0.269329 	56.5869 	2.4977	1.00297 	0.000118985 	2.75966 	0.138418
0.418	-1.21086 	0.00102301 	0.125411 	0.00478215	6.51635 	0.313364 	57.3078 	4.5961	1.00279 	0.000130727 	2.85148 	0.167734
