# nm = 1024 nc = 100 len = 100 extf = 0 beta = 0.4
#energy 	magnetization 	acceptance
-1.0956	0.161	0.323803
-1.1024	0.0876	0.324005
-1.1016	0.0006	0.322151
-1.1564	-0.1172	0.320723
-1.1044	0.008	0.322366
-1.1024	0.0546	0.318387
-1.0984	0.0544	0.327701
-1.1076	0.0898	0.326887
-1.1044	0.0512	0.328253
-1.1364	0.0872	0.319488
-1.158	0.0806	0.324731
-1.1264	0.0404	0.326439
-1.1012	0.0446	0.324115
-1.0948	0.0146	0.319794
-1.098	-0.072	0.326669
-1.1016	-0.0044	0.324494
-1.0868	0.0328	0.325598
-1.0852	-0.0554	0.321515
-1.0948	-0.0324	0.325525
-1.0984	-0.0936	0.32576
-1.126	-0.0226	0.325871
-1.1016	0.0826	0.321338
-1.1008	0.0142	0.328158
-1.1336	0.095	0.322466
-1.0852	0.0306	0.322242
-1.1184	0.076	0.325753
-1.1096	0.083	0.318875
-1.126	0.0296	0.322993
-1.1108	-0.0254	0.326777
-1.1072	-0.0742	0.321808
-1.1164	-0.0896	0.325399
-1.1096	0.0872	0.32774
-1.0656	-0.0374	0.326295
-1.1136	-0.042	0.323963
-1.1212	0.0548	0.320892
-1.0992	-0.0044	0.324956
-1.0716	-0.0484	0.325022
-1.086	-0.0148	0.32083
-1.1248	0.0174	0.328559
-1.1368	-0.1108	0.323707
-1.0724	0.0376	0.324712
-1.0956	-0.086	0.321946
-1.0864	0.1008	0.31845
-1.106	-0.1152	0.327738
-1.1084	-0.072	0.320438
-1.0696	-0.1192	0.324308
-1.108	-0.0322	0.324427
-1.1216	-0.1138	0.324194
-1.1092	0.0206	0.322256
-1.1076	0.0382	0.32469
-1.1236	-0.1348	0.324105
-1.062	-0.0206	0.325311
-1.106	0.0214	0.324028
-1.0936	-0.1066	0.33072
-1.1224	-0.0806	0.313754
-1.1036	-0.0284	0.321301
-1.1328	-0.0652	0.31939
-1.1388	-0.0644	0.322012
-1.1228	0.016	0.325844
-1.0592	0.0168	0.32338
-1.1856	0.1074	0.321747
-1.0856	0.0596	0.321235
-1.1048	-0.0964	0.32005
-1.094	0.0288	0.317792
-1.1132	-0.0768	0.321974
-1.1288	-0.0104	0.324782
-1.1076	0.0126	0.320923
-1.1096	0.0678	0.322008
-1.0988	-0.054	0.318101
-1.1228	-0.025	0.324421
-1.1288	-0.001	0.325036
-1.1284	-0.1136	0.325197
-1.0904	-0.1922	0.319425
-1.0976	0.0078	0.326838
-1.0844	0.0626	0.324812
-1.1056	0.0846	0.32289
-1.1104	0.065	0.317154
-1.1192	0.1198	0.321366
-1.0708	0.0514	0.32417
-1.114	-0.008	0.328979
-1.0836	0.0838	0.322867
-1.1272	0.0154	0.320792
-1.1064	-0.0476	0.322303
-1.0752	0.0562	0.325055
-1.1368	0.0774	0.31742
-1.132	0.0298	0.319638
-1.0932	0.06	0.321135
-1.1128	0.0096	0.322774
-1.1008	0.0384	0.324064
-1.066	0.11	0.322508
-1.1124	0.0022	0.327333
-1.1372	-0.0168	0.322855
-1.1268	-0.1386	0.322867
-1.11	-0.1176	0.319763
-1.118	-0.0754	0.322501
-1.1008	-0.1006	0.31747
-1.0892	-0.0228	0.328227
-1.1444	0.0418	0.322695
-1.1164	0.0152	0.319027
-1.136	0.0388	0.323564
-1.0876	-0.077	0.321147
-1.1004	-0.0574	0.325722
-1.088	0.0186	0.326936
-1.0932	0.0298	0.319082
-1.0828	0.0018	0.328062
-1.1408	0.0072	0.322529
-1.1208	0.0836	0.323378
-1.1072	0.1126	0.327177
-1.1244	0.0384	0.321213
-1.092	-0.0978	0.320199
-1.0908	0.0138	0.319182
-1.106	0.2266	0.324964
-1.0992	0.0562	0.32552
-1.0884	-0.0214	0.32801
-1.1196	0.117	0.3241
-1.1276	0.0066	0.317682
-1.0888	-0.0414	0.318666
-1.1056	0.1134	0.32368
-1.1056	0.1048	0.323161
-1.0992	-0.0036	0.31902
-1.106	-0.1006	0.331283
-1.1192	-0.094	0.319719
-1.1128	-0.1248	0.320384
-1.082	-0.0256	0.324042
-1.1344	0.1496	0.327332
-1.0952	-0.0404	0.322646
-1.096	0.0916	0.31993
-1.1228	0.0366	0.318021
-1.1188	0.1214	0.31618
-1.1224	0.0538	0.327264
-1.114	-0.0126	0.327764
-1.0524	-0.0326	0.322516
-1.1432	0.138	0.318769
-1.128	0.0472	0.321358
-1.124	-0.0088	0.315402
-1.0824	0.0198	0.325747
-1.1448	-0.037	0.323858
-1.1172	-0.0344	0.325983
-1.0976	-0.041	0.321877
-1.0924	0.0436	0.322967
-1.1296	0.0482	0.322871
-1.0564	0.0492	0.327723
-1.0648	-0.0126	0.334945
-1.102	-0.2034	0.322782
-1.0888	-0.1102	0.32246
-1.0968	0.0418	0.326702
-1.1164	0.0404	0.320791
-1.0996	-0.0504	0.325488
-1.0832	-0.0538	0.323405
-1.1292	0.0036	0.325195
-1.0848	-0.0078	0.319115
-1.0812	-0.0516	0.322391
-1.08	-0.019	0.325667
-1.1376	0.1026	0.32658
-1.132	0.0416	0.315585
-1.0972	0.0652	0.319808
-1.1056	-0.0264	0.320496
-1.1404	0.007	0.322873
-1.0976	-0.0392	0.322749
-1.0928	-0.1646	0.325195
-1.1396	-0.1432	0.322041
-1.092	-0.0402	0.320999
-1.0932	-0.0064	0.324611
-1.0872	0.1868	0.324506
-1.1	0.0572	0.324686
-1.146	-0.034	0.325754
-1.1192	-0.1346	0.319259
-1.114	-0.0792	0.320833
-1.1128	-0.0506	0.322741
-1.096	-0.0728	0.322589
-1.082	0.0352	0.323078
-1.144	0.1218	0.319615
-1.0772	-0.0692	0.326905
-1.1012	0.0592	0.327456
-1.0604	0.0472	0.323804
-1.1092	-0.0222	0.324099
-1.11	0.0054	0.323254
-1.1048	-0.0156	0.326215
-1.1048	0.0004	0.321438
-1.1132	0.058	0.321972
-1.1696	0.0486	0.322589
-1.1504	-0.0604	0.323959
-1.1184	-0.0354	0.316227
-1.0896	-0.1274	0.331242
-1.1396	-0.048	0.323935
-1.1472	0.0164	0.317472
-1.0776	0.1378	0.324191
-1.1072	0.1628	0.324265
-1.0944	0.1418	0.316997
-1.1064	0.1438	0.320022
-1.1144	-0.0004	0.322727
-1.1136	0.0158	0.321387
-1.1344	0.0122	0.325214
-1.1008	0.0066	0.31855
-1.0976	0.0502	0.325936
-1.1456	0.098	0.324261
-1.1328	-0.1014	0.324595
-1.0928	-0.1354	0.3283
-1.1004	-0.0046	0.325614
-1.1292	-0.0432	0.321439
