# nm = 1024 nc = 100 len = 100 extf = 0 beta = 0.375
#energy 	magnetization 	acceptance
-0.9616	-0.0084	0.378791
-0.9896	0.0032	0.380108
-0.986	-0.07	0.373728
-0.9724	-0.037	0.377041
-0.9744	-0.0702	0.382412
-1.0248	-0.103	0.377538
-0.9424	-0.0742	0.37465
-1.0156	-0.0066	0.380196
-0.954	-0.0344	0.379903
-0.9652	0.0106	0.377731
-0.9652	0.0378	0.378318
-0.9724	0.1018	0.383494
-0.9928	-0.017	0.3786
-1.0092	-0.0162	0.378526
-0.9764	0.0044	0.377635
-0.976	-0.017	0.375731
-1.0056	-0.018	0.376633
-0.9796	-0.069	0.375291
-0.9888	0.0148	0.375247
-0.968	0.0108	0.377836
-0.9696	-0.0294	0.379579
-0.964	-0.015	0.379072
-0.9964	0.044	0.381781
-0.9928	-0.018	0.375426
-0.9464	0.0362	0.378637
-1.0012	0.0368	0.382665
-0.9784	0.0196	0.380256
-1.0044	0.1506	0.378477
-0.9872	0.0026	0.37631
-0.9844	0.0586	0.382398
-0.9936	-0.0234	0.375384
-0.9964	0.0124	0.375029
-0.9796	-0.0464	0.376282
-0.9916	0.0458	0.379051
-0.9956	0.0566	0.377944
-0.96	-0.0204	0.378377
-0.994	0.046	0.381302
-0.9884	0.024	0.381728
-1.018	0.0328	0.378112
-0.9728	0.0344	0.379
-0.9384	0.028	0.374916
-1.0112	0.0256	0.378624
-0.946	-0.0722	0.378563
-0.96	0.0214	0.377816
-0.9716	0.0306	0.377696
-1.0024	0.0472	0.379083
-1.0168	-0.1454	0.380057
-1.0132	0.0286	0.37613
-0.9872	-0.0558	0.377132
-0.9324	0.0718	0.378532
-0.9936	0.0946	0.379034
-0.9456	0.0272	0.381667
-0.9852	0.0014	0.376725
-0.9516	-0.0156	0.375391
-0.9236	-0.0752	0.375262
-0.9568	0.02	0.379802
-1.0256	-0.0416	0.37936
-0.9868	0.0094	0.381199
-0.9796	-0.009	0.381282
-0.9776	0.0158	0.377282
-1.0128	-0.0014	0.378778
-0.9912	-0.0236	0.380517
-0.9792	-0.0266	0.380943
-0.9796	0.033	0.379644
-0.9872	0.0498	0.378522
-1.0312	-0.015	0.37804
-1.0296	0.0118	0.377328
-0.9908	-0.0872	0.376689
-0.9596	-0.044	0.378378
-1.0072	-0.051	0.372723
-1.0112	0.0642	0.379542
-1.0088	-0.0262	0.380058
-0.9756	-0.0802	0.3768
-0.97	-0.0178	0.37822
-0.9648	0.0588	0.378637
-0.97	-0.0496	0.374702
-1.022	-0.0596	0.377004
-0.9792	-0.095	0.378869
-0.9748	-0.0494	0.375616
-1.0116	-0.0952	0.380107
-0.9524	-0.0826	0.381143
-0.9808	-0.03	0.379031
-1.0088	0.0792	0.3761
-0.9924	0.0518	0.379949
-1.0096	-0.0502	0.37792
-1	0.114	0.374291
-0.9736	-0.072	0.379488
-0.9592	-0.1252	0.376958
-0.9832	-0.006	0.37848
-0.9432	-0.0636	0.377126
-0.978	-0.0256	0.375872
-0.9648	-0.0422	0.379799
-0.97	-0.0196	0.380917
-0.9784	0.0042	0.379207
-0.9632	-0.0998	0.37828
-0.992	-0.0444	0.375127
-1.0256	-0.0884	0.378782
