#x 	<E> 	error 	<M> 	error 	d<E>/dT 	error 	d<M>/dh 	error 	B(E) 	error 	B(M) 	derror
0.4	-1.11753 	0.00136232 	-0.00457214 	0.00591025	6.09587 	0.0973028 	56.5217 	0.665243	1.04933 	0.000775624 	2.0517 	0.0170088
0.401	-1.12228 	0.00148673 	-0.00950623 	0.0062416	6.26836 	0.104984 	58.0399 	0.66383	1.05092 	0.000905348 	2.05819 	0.0157865
0.402	-1.13456 	0.00125554 	0.00375 	0.00686184	6.59091 	0.0952466 	62.292 	0.747192	1.05201 	0.000766588 	2.00893 	0.0172048
0.403	-1.1369 	0.00162559 	0.000961304 	0.00803969	6.54156 	0.094955 	63.7153 	0.752224	1.05143 	0.000762549 	1.99364 	0.0156092
0.404	-1.14496 	0.00143792 	-0.0056488 	0.00692211	6.62142 	0.0969516 	66.3277 	0.731868	1.05142 	0.000889087 	1.95333 	0.0163506
0.405	-1.15155 	0.00156734 	-0.00589722 	0.00802282	6.74187 	0.125863 	69.2613 	0.806687	1.05183 	0.0010804 	1.90217 	0.0162169
0.406	-1.15777 	0.00142908 	-0.007099 	0.00812381	6.79367 	0.0949045 	71.719 	0.72957	1.0516 	0.000748247 	1.8767 	0.0128795
0.407	-1.16596 	0.00150066 	-0.0110876 	0.00863668	7.0586 	0.11541 	73.6917 	0.963068	1.05304 	0.000873962 	1.88914 	0.0145855
0.408	-1.17208 	0.00150726 	-0.00152893 	0.00824483	7.15749 	0.115568 	76.5297 	0.81921	1.05271 	0.000839275 	1.84078 	0.0141346
0.409	-1.17829 	0.00152477 	0.0146783 	0.00835519	7.38783 	0.10763 	78.5326 	0.803035	1.05402 	0.000743427 	1.83332 	0.0148136
0.41	-1.18618 	0.00153652 	0.0180206 	0.00837298	7.23391 	0.112449 	81.6461 	0.919741	1.05203 	0.000855249 	1.78556 	0.0126122
0.411	-1.19037 	0.00144043 	-0.010343 	0.0087322	7.48238 	0.113712 	82.9126 	0.801428	1.05385 	0.000824188 	1.79296 	0.0127972
0.412	-1.19596 	0.00147331 	-0.0170905 	0.00900785	7.47395 	0.117636 	85.2919 	0.95093	1.05292 	0.000785753 	1.76904 	0.0131252
0.413	-1.20901 	0.00151012 	0.00681519 	0.0110382	7.91535 	0.100859 	91.4864 	0.920096	1.05494 	0.000724962 	1.72336 	0.0133751
0.414	-1.21746 	0.00179236 	-0.00761108 	0.0107147	7.7291 	0.117624 	94.7385 	0.945725	1.05274 	0.000813884 	1.68136 	0.0134949
0.415	-1.22247 	0.00164201 	-9.09424e-05 	0.0121795	8.10572 	0.125462 	97.678 	1.02434	1.05486 	0.000823836 	1.67445 	0.0112597
0.416	-1.23191 	0.00157238 	-0.0257306 	0.0110037	7.7591 	0.114666 	100.42 	0.888481	1.05144 	0.00082695 	1.62538 	0.0117644
0.417	-1.24038 	0.00155644 	0.0196545 	0.0139615	8.23639 	0.126905 	104.437 	1.08203	1.05359 	0.000855627 	1.60974 	0.0104094
0.418	-1.24896 	0.00168964 	0.000727539 	0.0133472	7.90655 	0.105257 	109.414 	0.952029	1.05082 	0.000763454 	1.56727 	0.00963801
0.419	-1.25381 	0.00169672 	-0.0153577 	0.0140937	8.63467 	0.136835 	110.693 	1.0512	1.05519 	0.000932792 	1.57795 	0.0099516
0.42	-1.26246 	0.00191453 	0.015285 	0.0148098	8.36126 	0.13492 	115.156 	1.12972	1.05266 	0.000851179 	1.53224 	0.00999556
0.421	-1.27556 	0.00178324 	0.00987793 	0.0168144	8.62098 	0.134794 	121.869 	1.19185	1.05296 	0.000808712 	1.49699 	0.00933372
0.422	-1.27818 	0.0018429 	0.00828125 	0.0170833	8.64008 	0.120652 	122.753 	1.17675	1.05275 	0.000836327 	1.49182 	0.0104959
0.423	-1.29093 	0.00212047 	0.00477905 	0.0165235	8.7242 	0.122946 	128.194 	1.28264	1.05213 	0.000686717 	1.46894 	0.00996722
0.424	-1.29676 	0.00163961 	0.0289178 	0.0196685	8.63631 	0.117607 	129.097 	1.13831	1.05106 	0.00070455 	1.46453 	0.00858758
0.425	-1.30811 	0.00167636 	0.0552942 	0.0175033	8.74207 	0.114496 	135.388 	1.47136	1.05052 	0.000691723 	1.41669 	0.00825306
0.426	-1.31753 	0.00167867 	-0.00295227 	0.0216354	8.96885 	0.133391 	143.006 	1.15475	1.05129 	0.000703665 	1.3815 	0.00700912
0.427	-1.32423 	0.00165824 	-0.0212848 	0.0230292	8.70665 	0.14406 	145.178 	1.29667	1.04926 	0.000841019 	1.37619 	0.00803697
0.428	-1.33683 	0.00187406 	-0.0089917 	0.0224564	8.67116 	0.108102 	151.598 	1.24449	1.04762 	0.000635675 	1.34285 	0.00755355
0.429	-1.34131 	0.00171024 	-0.0417566 	0.0223071	9.05943 	0.111644 	151.765 	1.41872	1.0496 	0.000616196 	1.34878 	0.00645762
0.43	-1.35332 	0.0016479 	-0.0228033 	0.0274703	8.72052 	0.126981 	159.055 	1.32277	1.04654 	0.000642959 	1.31617 	0.00733727
0.431	-1.36389 	0.00187273 	-0.0550067 	0.0258554	9.04842 	0.138504 	163.52 	1.76019	1.04763 	0.000846288 	1.30102 	0.00734486
0.432	-1.36805 	0.00183592 	-0.0039563 	0.0255954	8.77583 	0.111418 	166.848 	1.35498	1.04586 	0.000689523 	1.28363 	0.00667247
0.433	-1.37613 	0.00184773 	0.0177234 	0.0282729	9.10305 	0.120943 	171.84 	1.3164	1.04673 	0.000607679 	1.26992 	0.00591777
0.434	-1.38851 	0.0017767 	-0.00361755 	0.0312574	9.08853 	0.11683 	178.113 	1.30023	1.04551 	0.000655403 	1.24912 	0.00557102
0.435	-1.39856 	0.00161622 	0.01336 	0.0305164	8.59328 	0.128106 	183.111 	1.2393	1.04257 	0.000693401 	1.22952 	0.00512767
