#x 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error 	B(E) 	error 	B(|M|) 	derror
0.4	-1.10708 	0.000752445 	0.214452 	0.00158557	5.4487 	0.0884993 	19.686 	0.316541	1.01987 	0.000313007 	2.44933 	0.0264906
0.401	-1.1146 	0.000745572 	0.219611 	0.00163808	5.64142 	0.0996617 	20.5673 	0.35348	1.02028 	0.000354678 	2.42614 	0.0260582
0.402	-1.11891 	0.000886297 	0.225028 	0.00164459	5.63856 	0.079089 	22.111 	0.308262	1.0201 	0.000296956 	2.42848 	0.0266284
0.403	-1.1246 	0.000846419 	0.232016 	0.00186294	5.79206 	0.0972703 	22.4057 	0.317856	1.02063 	0.00037226 	2.3429 	0.0259836
0.404	-1.13052 	0.000880594 	0.235437 	0.00189884	5.76317 	0.0920627 	23.4091 	0.378844	1.02025 	0.000332971 	2.37797 	0.0239882
0.405	-1.13641 	0.00104206 	0.240164 	0.00249037	5.98636 	0.0977486 	24.0786 	0.373449	1.0208 	0.000360235 	2.3389 	0.028436
0.406	-1.14267 	0.000999222 	0.245398 	0.00213617	6.01733 	0.108334 	24.8865 	0.328205	1.02067 	0.000338511 	2.32221 	0.0253373
0.407	-1.1486 	0.000958026 	0.25306 	0.00216935	6.28554 	0.100785 	26.0107 	0.356116	1.02137 	0.000348901 	2.28881 	0.0240636
0.408	-1.15612 	0.000927231 	0.260916 	0.00262175	6.34821 	0.116032 	27.3604 	0.372455	1.02133 	0.000394023 	2.25186 	0.0241189
0.409	-1.16329 	0.000842563 	0.271182 	0.00246615	6.35104 	0.109865 	28.2328 	0.401008	1.02101 	0.000347626 	2.18597 	0.0204567
0.41	-1.16744 	0.00109679 	0.275095 	0.00271733	6.56622 	0.113747 	28.8397 	0.344081	1.02157 	0.000350239 	2.15851 	0.0233434
0.411	-1.17373 	0.000903263 	0.282342 	0.00219521	6.56649 	0.105769 	29.6411 	0.381688	1.02145 	0.000373744 	2.13526 	0.0197824
0.412	-1.1825 	0.000963701 	0.290184 	0.00273236	6.89864 	0.103083 	31.2039 	0.376561	1.02215 	0.000354873 	2.13282 	0.0195083
0.413	-1.1879 	0.00110629 	0.295582 	0.00235253	6.92373 	0.112124 	31.3846 	0.406381	1.022 	0.000376803 	2.07925 	0.0180439
0.414	-1.19578 	0.00126961 	0.314457 	0.00287484	7.23106 	0.121492 	33.3305 	0.425804	1.02272 	0.000399708 	1.98764 	0.0217254
0.415	-1.20192 	0.000971148 	0.314043 	0.00278873	7.39153 	0.126355 	34.1122 	0.431927	1.02301 	0.000373699 	2.03643 	0.0185988
0.416	-1.21195 	0.00122486 	0.329734 	0.00320315	7.65026 	0.114977 	36.2804 	0.418968	1.02349 	0.000345206 	1.96609 	0.0189055
0.417	-1.21811 	0.00112365 	0.342613 	0.00281692	7.48746 	0.130264 	36.3625 	0.447423	1.02268 	0.000391853 	1.87996 	0.0167604
0.418	-1.22706 	0.0011517 	0.349499 	0.00337159	7.82083 	0.126248 	38.3419 	0.415761	1.02341 	0.000386237 	1.87966 	0.0171197
0.419	-1.23334 	0.00123841 	0.359727 	0.00315674	7.86906 	0.114801 	38.295 	0.45984	1.02319 	0.000348869 	1.82795 	0.0150857
0.42	-1.24173 	0.00121599 	0.366907 	0.00329519	8.18026 	0.133737 	40.0788 	0.462895	1.02388 	0.000370014 	1.82349 	0.0172337
0.421	-1.24816 	0.00115808 	0.378987 	0.00325667	8.40978 	0.138922 	39.6955 	0.450589	1.02416 	0.000369244 	1.7677 	0.0181878
0.422	-1.25794 	0.00133849 	0.394339 	0.00325491	8.52559 	0.156985 	40.6553 	0.491648	1.02415 	0.000414124 	1.70736 	0.0146678
0.423	-1.26377 	0.00138472 	0.399689 	0.00371513	8.69892 	0.153048 	41.5912 	0.507691	1.02442 	0.000410011 	1.71173 	0.0181045
0.424	-1.27704 	0.00132111 	0.426343 	0.00406614	8.83806 	0.119752 	42.3619 	0.459795	1.02423 	0.000338392 	1.61993 	0.0160462
0.425	-1.28217 	0.00136763 	0.431891 	0.00386502	8.90015 	0.139534 	42.7297 	0.496116	1.02418 	0.000347339 	1.61007 	0.0159031
0.426	-1.29019 	0.00121337 	0.441218 	0.00355922	9.22189 	0.130124 	43.8921 	0.527973	1.02478 	0.000379899 	1.59218 	0.0127211
0.427	-1.2999 	0.00147151 	0.456749 	0.00392464	9.41747 	0.151926 	43.6771 	0.606594	1.02492 	0.000371834 	1.54581 	0.0138161
0.428	-1.31176 	0.00136686 	0.479744 	0.00382349	9.61699 	0.132035 	42.9975 	0.601644	1.02496 	0.000347084 	1.48458 	0.0121942
0.429	-1.32004 	0.00165423 	0.486395 	0.00424102	9.52463 	0.121132 	43.1608 	0.618321	1.02429 	0.000297166 	1.47338 	0.0127852
0.43	-1.33034 	0.00165095 	0.50586 	0.00426575	9.59044 	0.131271 	42.101 	0.723422	1.02402 	0.000326371 	1.42597 	0.012382
0.431	-1.34141 	0.00144304 	0.523754 	0.00374043	10.0433 	0.128421 	41.9623 	0.809417	1.02465 	0.000352762 	1.38951 	0.0115989
0.432	-1.35104 	0.00150129 	0.540167 	0.00379508	9.91291 	0.137271 	40.2426 	0.937033	1.024 	0.000357229 	1.35331 	0.00969995
0.433	-1.36174 	0.00159921 	0.55578 	0.00353347	9.78699 	0.156933 	39.816 	0.818869	1.02332 	0.000358271 	1.32661 	0.00948241
0.434	-1.36796 	0.00169822 	0.564284 	0.00377207	9.92276 	0.14132 	38.8499 	0.851694	1.02331 	0.000370871 	1.31081 	0.0100342
0.435	-1.38018 	0.00144627 	0.58353 	0.00345123	10.2067 	0.151303 	37.1795 	0.884545	1.02348 	0.000352478 	1.27935 	0.00835651
0.436	-1.39296 	0.00176232 	0.603457 	0.00365472	9.9687 	0.156699 	35.1569 	1.07145	1.02245 	0.000319301 	1.24496 	0.00817946
0.437	-1.39846 	0.00167934 	0.607199 	0.00368343	9.65716 	0.138677 	35.0907 	1.08105	1.02157 	0.000341375 	1.24208 	0.00797351
0.438	-1.40911 	0.00179289 	0.623821 	0.0039724	10.005 	0.16391 	33.5623 	1.05444	1.02195 	0.000372648 	1.21947 	0.00826468
0.439	-1.41945 	0.00155596 	0.637709 	0.00371062	9.46434 	0.136813 	31.5395 	1.3084	1.02056 	0.00031038 	1.19646 	0.00759247
0.44	-1.42974 	0.0013505 	0.652374 	0.00332323	9.57329 	0.14616 	29.2231 	1.03575	1.02035 	0.000299028 	1.17716 	0.00582076
0.441	-1.43826 	0.00142586 	0.667705 	0.00348665	9.1294 	0.162546 	26.1373 	1.13554	1.01926 	0.000386377 	1.15484 	0.00670471
0.442	-1.44688 	0.0012785 	0.676018 	0.00296282	9.10755 	0.139832 	25.1393 	0.959574	1.01896 	0.000312309 	1.14645 	0.00503342
0.443	-1.45708 	0.00138716 	0.689436 	0.0032284	9.03879 	0.14943 	23.7466 	1.13064	1.01849 	0.000318236 	1.13133 	0.00569983
0.444	-1.46364 	0.00154524 	0.697141 	0.00308119	8.7337 	0.153293 	22.4868 	1.06962	1.01773 	0.000316956 	1.12331 	0.00504905
0.445	-1.47297 	0.00142174 	0.708178 	0.00319301	8.48359 	0.153798 	20.8156 	1.00303	1.01696 	0.000291436 	1.11061 	0.00502435
0.446	-1.48357 	0.00130611 	0.719197 	0.00256601	8.35418 	0.142681 	19.1413 	0.981708	1.01642 	0.000306038 	1.1016 	0.0038465
0.447	-1.48886 	0.0012195 	0.727008 	0.0025333	8.15723 	0.154131 	17.4658 	0.958194	1.01597 	0.000299285 	1.092 	0.00389699
0.448	-1.49896 	0.00135845 	0.736871 	0.00247626	7.98341 	0.145964 	16.471 	0.951608	1.01541 	0.000278331 	1.08469 	0.00358842
0.449	-1.50563 	0.00133785 	0.74462 	0.00223902	7.92239 	0.134764 	15.7529 	0.844785	1.01512 	0.00027904 	1.07917 	0.00345567
0.45	-1.51339 	0.00111462 	0.75076 	0.00248558	7.66081 	0.150356 	14.8796 	0.946292	1.01447 	0.000288877 	1.07411 	0.00367213
0.451	-1.52038 	0.00133606 	0.759446 	0.00215315	7.54939 	0.148964 	13.8861 	0.778172	1.01413 	0.000301948 	1.06718 	0.00308796
0.452	-1.52958 	0.00112019 	0.771252 	0.00169745	6.98583 	0.111159 	10.1039 	0.563497	1.01301 	0.000200074 	1.0532 	0.00215106
0.453	-1.53563 	0.00110854 	0.774212 	0.00217456	7.01368 	0.123039 	11.367 	0.827674	1.01289 	0.000246791 	1.0552 	0.00270623
0.454	-1.54247 	0.00110545 	0.781255 	0.00197655	6.92077 	0.13981 	9.60544 	0.697603	1.01262 	0.000275834 	1.04867 	0.0024916
0.455	-1.54918 	0.00110465 	0.787555 	0.00153864	6.66909 	0.115168 	9.02332 	0.542794	1.0121 	0.000227023 	1.04544 	0.00203286
0.456	-1.55735 	0.000917178 	0.793871 	0.00165994	6.60988 	0.117929 	8.69001 	0.614427	1.01185 	0.000207316 	1.04223 	0.00193228
0.457	-1.56082 	0.00105858 	0.796303 	0.00181979	6.37328 	0.153422 	8.40963 	0.710313	1.01133 	0.000236576 	1.0404 	0.00212483
0.458	-1.56843 	0.000993116 	0.803216 	0.00133645	6.32865 	0.10365 	7.29854 	0.548442	1.0112 	0.000159568 	1.03615 	0.00156599
0.459	-1.57436 	0.0010119 	0.808617 	0.0012192	6.15572 	0.115488 	6.62918 	0.441122	1.01079 	0.000198188 	1.03304 	0.00160853
0.46	-1.58084 	0.000922469 	0.814134 	0.00112839	5.89204 	0.100245 	5.69348 	0.28502	1.01026 	0.000181331 	1.0299 	0.00106599
0.461	-1.5877 	0.000832793 	0.819493 	0.00110206	5.76622 	0.0992982 	5.40755 	0.395316	1.00996 	0.000163264 	1.02743 	0.00120762
0.462	-1.59282 	0.000939088 	0.823599 	0.00116328	5.67198 	0.0926954 	5.02011 	0.472512	1.00971 	0.00015697 	1.02534 	0.00134569
0.463	-1.59814 	0.000886575 	0.827097 	0.00100332	5.5846 	0.0850857 	4.74393 	0.33352	1.00955 	0.00014912 	1.02446 	0.00106832
0.464	-1.60333 	0.00099736 	0.83029 	0.000878463	5.49962 	0.0890537 	4.31085 	0.22338	1.00934 	0.000149996 	1.02278 	0.000919971
0.465	-1.60854 	0.000928626 	0.834024 	0.00111111	5.32282 	0.102265 	4.22517 	0.384912	1.00898 	0.000180478 	1.02178 	0.00123675
