# nm = 1024 nc = 100 len = 60 extf = 0 beta = 0.452
#energy 	magnetization 	acceptance
-1.54222	-0.727222	0.155275
-1.50222	-0.683889	0.175278
-1.51778	-0.779444	0.159228
-1.47333	-0.731111	0.150214
-1.50889	-0.773333	0.161189
-1.48	-0.681111	0.165778
-1.47667	-0.697778	0.178622
-1.43556	-0.713333	0.167739
-1.49333	-0.76	0.165272
-1.47222	-0.748889	0.164572
-1.59111	-0.836111	0.158531
-1.58	-0.801111	0.145436
-1.56889	-0.826667	0.150539
-1.57444	-0.828333	0.157036
-1.42778	-0.703889	0.157122
-1.56556	-0.833889	0.1618
-1.53667	-0.783889	0.140789
-1.52667	-0.719444	0.155389
-1.52667	-0.73	0.167208
-1.52222	-0.778889	0.155061
-1.44111	-0.696111	0.165147
-1.48	-0.753333	0.166981
-1.56444	-0.800556	0.159758
-1.50333	-0.786667	0.148425
-1.60889	-0.834444	0.14425
-1.47333	-0.748333	0.159903
-1.56778	-0.823333	0.141653
-1.49111	-0.775	0.155269
-1.49333	-0.725556	0.161597
-1.50444	-0.759444	0.159364
-1.42	-0.632778	0.168872
-1.41333	-0.664444	0.170569
-1.57	-0.782222	0.163022
-1.54556	-0.785	0.154192
-1.58333	-0.841667	0.160372
-1.52444	-0.810556	0.154978
-1.56667	-0.822222	0.151725
-1.48333	-0.799444	0.152375
-1.50889	-0.781111	0.149453
-1.57444	-0.821111	0.143289
-1.50333	-0.800556	0.142664
-1.57222	-0.788889	0.154653
-1.46667	-0.691667	0.168397
-1.51889	-0.724444	0.172647
-1.48	-0.689444	0.172397
-1.52222	-0.758889	0.167575
-1.50111	-0.742778	0.165036
-1.49111	-0.727778	0.165286
-1.45111	-0.735	0.167131
-1.57222	-0.813889	0.144767
-1.53333	-0.747778	0.160947
-1.50333	-0.793333	0.163489
-1.54556	-0.793889	0.157231
-1.52111	-0.782222	0.166914
-1.56	-0.830556	0.150747
-1.47333	-0.722222	0.149958
-1.60778	-0.792222	0.156378
-1.48778	-0.748889	0.158872
-1.45222	-0.721111	0.168383
-1.54	-0.747222	0.165175
-1.49111	-0.744444	0.154158
-1.55556	-0.777778	0.159628
-1.55	-0.768889	0.158439
-1.61333	-0.834444	0.1453
-1.59	-0.829444	0.152408
-1.47333	-0.776667	0.150431
-1.52444	-0.731667	0.156286
-1.47111	-0.767222	0.1655
-1.49889	-0.747222	0.152789
-1.48444	-0.752222	0.153253
-1.54556	-0.766667	0.164061
-1.54333	-0.751667	0.147247
-1.48889	-0.782222	0.159636
-1.49444	-0.712222	0.163256
-1.53667	-0.783333	0.165761
-1.61222	-0.854444	0.149
-1.48889	-0.765556	0.145406
-1.53111	-0.797222	0.146808
-1.53	-0.754444	0.165019
-1.49889	-0.728333	0.163553
-1.5	-0.759444	0.161844
-1.52667	-0.766111	0.153406
-1.52333	-0.768889	0.152436
-1.48556	-0.776111	0.155558
-1.55889	-0.770556	0.157583
-1.52	-0.756111	0.164683
-1.56333	-0.781111	0.159986
-1.50667	-0.776111	0.156192
-1.50667	-0.738333	0.150206
-1.56667	-0.836667	0.144292
-1.48889	-0.737222	0.159169
-1.52444	-0.777222	0.149294
-1.52	-0.780556	0.150017
-1.54	-0.718889	0.162919
-1.57889	-0.820556	0.158047
-1.50556	-0.738889	0.153358
-1.50778	-0.768333	0.158392
-1.52889	-0.691667	0.167094
-1.45556	-0.62	0.182703
-1.47	-0.691667	0.171664
-1.51444	-0.723889	0.168294
-1.39556	-0.532222	0.179586
-1.42444	-0.580556	0.187053
-1.44667	-0.690556	0.162767
-1.57222	-0.817222	0.159011
-1.61	-0.868333	0.148783
-1.50222	-0.792778	0.147994
-1.50111	-0.771111	0.152725
-1.53889	-0.808889	0.148839
-1.51333	-0.740556	0.158864
-1.54	-0.739444	0.169267
-1.57222	-0.765	0.161878
-1.46222	-0.659444	0.165683
-1.62111	-0.838333	0.1625
-1.53222	-0.771111	0.153597
-1.55778	-0.804444	0.166789
-1.47556	-0.735	0.154175
-1.55667	-0.813889	0.150367
-1.54222	-0.748333	0.161839
-1.57889	-0.805556	0.164514
-1.57889	-0.813333	0.1547
-1.55	-0.790556	0.148292
-1.64111	-0.867778	0.141942
-1.58778	-0.821667	0.156831
-1.53333	-0.771667	0.154144
-1.42333	-0.707222	0.167833
-1.61556	-0.837222	0.159839
-1.44222	-0.638333	0.162889
-1.41889	-0.666667	0.164819
-1.56778	-0.741111	0.156183
-1.53778	-0.794444	0.155444
-1.49333	-0.721667	0.157853
-1.52444	-0.764444	0.163614
-1.46667	-0.781667	0.147153
-1.51444	-0.754444	0.160008
-1.50778	-0.751667	0.151764
-1.56111	-0.822778	0.146089
-1.51333	-0.744444	0.157636
-1.53667	-0.742778	0.157286
-1.53333	-0.803889	0.154844
-1.49778	-0.707222	0.156739
-1.49667	-0.718333	0.174756
-1.50444	-0.727222	0.174756
-1.52222	-0.817222	0.153939
-1.6	-0.813889	0.142956
-1.51	-0.775	0.152478
-1.51889	-0.760556	0.157911
-1.50778	-0.766111	0.148072
-1.58333	-0.822222	0.154114
-1.56444	-0.834444	0.146606
-1.50778	-0.768333	0.149603
-1.52	-0.782222	0.157053
-1.53444	-0.748889	0.158544
-1.55	-0.82	0.156856
-1.57333	-0.853333	0.156772
-1.50556	-0.745	0.151747
-1.46667	-0.731111	0.165058
-1.54111	-0.775556	0.1632
-1.57889	-0.809444	0.154892
-1.53111	-0.796111	0.14945
-1.50444	-0.746111	0.147983
-1.59111	-0.850556	0.154817
-1.47	-0.728333	0.147478
-1.51222	-0.747778	0.167186
-1.53	-0.807778	0.162244
-1.55111	-0.807222	0.151058
-1.53111	-0.792222	0.149703
-1.51444	-0.783333	0.155417
-1.53111	-0.785556	0.148633
-1.49	-0.71	0.149639
-1.53556	-0.725	0.167086
-1.54667	-0.735556	0.156969
-1.46889	-0.637222	0.177875
-1.54889	-0.777222	0.155461
-1.54111	-0.780556	0.155944
-1.64667	-0.882778	0.146683
-1.55	-0.798889	0.140292
-1.6	-0.818889	0.155683
-1.48889	-0.771667	0.155069
-1.50222	-0.753889	0.161211
-1.50889	-0.812778	0.158967
-1.54333	-0.818333	0.149378
-1.54333	-0.8	0.152242
-1.59667	-0.843333	0.149539
-1.50222	-0.773889	0.167814
-1.60667	-0.826667	0.144536
-1.51556	-0.722222	0.145139
-1.57778	-0.832222	0.145506
-1.54889	-0.767222	0.158797
-1.58333	-0.822778	0.153633
-1.59667	-0.841111	0.152814
-1.48556	-0.768333	0.152897
-1.56333	-0.740556	0.161711
-1.49333	-0.706667	0.175619
-1.52111	-0.695	0.167525
-1.57111	-0.797222	0.163639
-1.54778	-0.792778	0.146556
-1.60444	-0.786111	0.159961
-1.48222	-0.701667	0.148933
-1.57889	-0.812778	0.155361
-1.46333	-0.738889	0.157892
-1.44111	-0.661111	0.173556
-1.58222	-0.828889	0.16075
-1.55444	-0.737778	0.160961
-1.50889	-0.752222	0.167839
-1.48222	-0.777778	0.146383
-1.52222	-0.781111	0.140972
-1.61111	-0.840556	0.150292
-1.52333	-0.777222	0.147811
-1.54556	-0.713333	0.171797
-1.46111	-0.731667	0.159747
-1.55111	-0.818333	0.150172
-1.51	-0.804444	0.144203
-1.52222	-0.778333	0.147769
-1.56556	-0.825556	0.146242
-1.51444	-0.8	0.155572
-1.54111	-0.797222	0.150181
-1.57	-0.836667	0.153675
-1.50333	-0.751111	0.147678
-1.56444	-0.811111	0.155894
-1.51778	-0.767222	0.153892
-1.48778	-0.757222	0.149689
-1.48111	-0.773333	0.157392
-1.58	-0.849444	0.155619
-1.55889	-0.791111	0.146831
-1.53556	-0.811667	0.151892
-1.48444	-0.739444	0.148822
-1.49	-0.680556	0.169683
-1.45111	-0.707778	0.166881
-1.55333	-0.782222	0.160572
-1.53333	-0.782222	0.159956
-1.54556	-0.775556	0.14305
-1.53667	-0.686667	0.156606
-1.43111	-0.669444	0.164497
-1.49222	-0.732222	0.170831
-1.48889	-0.761667	0.153681
-1.48889	-0.737222	0.155889
-1.56111	-0.808889	0.156314
-1.55222	-0.831111	0.146633
-1.52222	-0.768333	0.153908
-1.50444	-0.765556	0.159003
-1.53889	-0.798889	0.1546
-1.55222	-0.782778	0.154969
-1.44889	-0.705556	0.152114
-1.62667	-0.833889	0.148769
-1.55333	-0.827222	0.153794
-1.57778	-0.826111	0.148761
-1.49778	-0.729444	0.158067
-1.52333	-0.777222	0.15995
-1.56333	-0.811667	0.156022
-1.58667	-0.851111	0.143303
-1.62	-0.839444	0.146986
-1.54444	-0.790556	0.155022
-1.63	-0.850556	0.151161
-1.56556	-0.810556	0.136933
-1.44333	-0.702778	0.150922
-1.49444	-0.783889	0.157606
-1.47556	-0.753889	0.150539
-1.46556	-0.671667	0.162956
-1.47667	-0.781667	0.157772
-1.56778	-0.801111	0.147992
-1.58556	-0.828333	0.161797
-1.48111	-0.757222	0.152689
-1.47667	-0.730556	0.159194
-1.61778	-0.851667	0.15365
-1.57333	-0.766111	0.156906
-1.58667	-0.840556	0.152833
-1.61889	-0.840556	0.144433
-1.52111	-0.782222	0.150297
-1.59889	-0.837778	0.153506
-1.48222	-0.75	0.165611
-1.53111	-0.812778	0.149031
-1.51778	-0.796111	0.146167
