# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.5 	-0.756535 	0.000336433 	0.180246 	0.000624707 	1.7854 	0.0105417 	4.40574 	0.0300004
0.52 	-0.793282 	0.000354673 	0.204112 	0.000753129 	1.89688 	0.0119458 	5.49942 	0.0381581
0.54 	-0.832555 	0.0004329 	0.231934 	0.000929596 	2.05205 	0.0127842 	6.9373 	0.045895
0.56 	-0.87649 	0.000470514 	0.273987 	0.00125221 	2.27356 	0.0146681 	8.96224 	0.0605947
0.57 	-0.898897 	0.000483676 	0.297906 	0.0013921 	2.37825 	0.0161187 	10.0166 	0.0623842
0.58 	-0.924528 	0.000539907 	0.329812 	0.00159172 	2.56701 	0.0165035 	11.5284 	0.0688044
0.59 	-0.950674 	0.000590581 	0.362313 	0.00176761 	2.7635 	0.0191108 	13.0073 	0.0762255
0.6 	-0.98002 	0.000718644 	0.407279 	0.00206544 	2.98612 	0.0194818 	14.4285 	0.0690289
0.61 	-1.00828 	0.000794314 	0.443637 	0.00268446 	3.16984 	0.0212617 	15.6984 	0.0796935
0.615 	-1.0264 	0.000836808 	0.473846 	0.0025635 	3.2861 	0.0182297 	16.0885 	0.0851786
0.62 	-1.04363 	0.000798126 	0.503404 	0.00259686 	3.38636 	0.0193464 	16.2538 	0.0982081
0.625 	-1.06137 	0.00087755 	0.527814 	0.00273049 	3.5021 	0.0188182 	16.7875 	0.126951
0.63 	-1.07637 	0.000988332 	0.550861 	0.00268489 	3.4803 	0.0208306 	16.5846 	0.130247
0.635 	-1.09392 	0.00106312 	0.58027 	0.00302623 	3.54377 	0.020835 	16.3505 	0.173088
0.64 	-1.11314 	0.000983577 	0.612481 	0.00290098 	3.5144 	0.019558 	15.6073 	0.194077
0.645 	-1.13006 	0.000965439 	0.638724 	0.00305933 	3.49164 	0.0197929 	15.0794 	0.233635
0.65 	-1.1475 	0.00102327 	0.665622 	0.00289335 	3.43457 	0.0217951 	14.2408 	0.237321
0.655 	-1.16423 	0.000957012 	0.691907 	0.00268747 	3.36966 	0.0216408 	13.128 	0.258586
0.66 	-1.18174 	0.000922297 	0.718706 	0.00259132 	3.2303 	0.0254588 	12.016 	0.266101
0.665 	-1.1969 	0.000966034 	0.74129 	0.00259115 	3.13766 	0.0254149 	10.871 	0.287377
0.67 	-1.21194 	0.000913303 	0.760339 	0.00257785 	3.01098 	0.0261901 	10.0189 	0.291785
0.68 	-1.24225 	0.000778633 	0.805239 	0.00201671 	2.63122 	0.0261274 	6.96876 	0.262744
0.69 	-1.26673 	0.000725804 	0.833724 	0.00172115 	2.34991 	0.0245399 	5.5004 	0.281754
0.7 	-1.28758 	0.000619271 	0.85677 	0.00150963 	2.09295 	0.0218489 	4.16017 	0.218833
