# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.711059 	0.0009137 	0.273526 	0.000699253 	3.45006 	0.0210369 	2.32412 	0.011149
0.35 	-0.920268 	0.00108393 	0.39511 	0.000873428 	4.97188 	0.0271588 	3.75192 	0.0147619
0.36 	-0.972129 	0.00113738 	0.43111 	0.00104603 	5.47334 	0.0320657 	4.0484 	0.0152004
0.37 	-1.02983 	0.00139623 	0.469912 	0.00109706 	5.90198 	0.0334744 	4.29173 	0.0152766
0.38 	-1.08871 	0.00128936 	0.510891 	0.00115202 	6.25677 	0.0313612 	4.43503 	0.0163479
0.39 	-1.15487 	0.00137912 	0.556514 	0.0012045 	6.67467 	0.0326697 	4.47667 	0.020114
0.4 	-1.22175 	0.00137519 	0.60311 	0.00117224 	6.8545 	0.0315332 	4.35828 	0.0212879
0.405 	-1.25795 	0.00136316 	0.627953 	0.00125281 	6.93328 	0.0294908 	4.23356 	0.020294
0.41 	-1.29172 	0.00149069 	0.649925 	0.00121353 	6.86782 	0.0326333 	4.11815 	0.02332
0.415 	-1.3274 	0.00144513 	0.673128 	0.00117873 	6.84945 	0.0323724 	3.94673 	0.0236949
0.42 	-1.36096 	0.0012735 	0.696511 	0.00112952 	6.75316 	0.0301461 	3.67959 	0.0246226
0.425 	-1.3954 	0.00151765 	0.716916 	0.00106433 	6.5654 	0.034477 	3.52568 	0.0254385
0.43 	-1.42664 	0.00149361 	0.738193 	0.000969762 	6.43339 	0.0320505 	3.24017 	0.0242481
0.435 	-1.45616 	0.00129978 	0.755353 	0.0010109 	6.20526 	0.0312084 	3.0479 	0.0263923
0.44 	-1.48701 	0.00148326 	0.774584 	0.000968502 	5.95316 	0.0329608 	2.76347 	0.0257844
0.445 	-1.51568 	0.00129764 	0.791257 	0.000954485 	5.7279 	0.0311034 	2.54698 	0.0240855
0.45 	-1.54325 	0.00134814 	0.807899 	0.000926105 	5.41457 	0.031519 	2.27121 	0.0261719
0.46 	-1.59292 	0.00126109 	0.835411 	0.000774888 	4.84446 	0.028447 	1.8506 	0.0231662
0.47 	-1.63872 	0.00119065 	0.859677 	0.000726036 	4.28194 	0.0266582 	1.47785 	0.0216583
0.48 	-1.67821 	0.00111678 	0.879552 	0.000650005 	3.78092 	0.0274596 	1.17588 	0.0175368
0.53 	-1.8164 	0.000702198 	0.940896 	0.000304805 	1.94778 	0.0145448 	0.350733 	0.00744823
