# nm = 1024 nc = 16 len = 256 extf = 0 beta = 0.3
#energy 	magnetization 	acceptance
-0.233154	0.00283813	0
-0.00613403	-0.000305176	0
-0.0067749	0.000396729	0
-0.0108948	-0.00012207	0
-0.00909424	0.000396729	0
-0.00918579	0.000549316	0
-0.0107727	0.000305176	0
-0.0123596	6.10352e-05	0
-0.0116577	0.000335693	0
-0.0143433	-3.05176e-05	0
-0.0124817	0.000976562	0
-0.0129395	0.000396729	0
-0.0120239	0.000518799	0
-0.0133667	0.000518799	0
-0.0141907	0.000549316	0
-0.0160828	0.000732422	0
-0.0157166	0.00109863	0
-0.0177307	0.0010376	0
-0.0176392	0.00100708	0
-0.0158691	0.00186157	0
-0.0158997	0.00219727	0
-0.0167847	0.00204468	0
-0.0195618	0.00158691	0
-0.0179443	0.00192261	0
-0.0199585	0.0017395	0
-0.0220642	0.00146484	0
-0.0227966	0.00128174	0
-0.0270081	0.000610352	0
-0.0298157	-6.10352e-05	0
-0.0326233	-0.000610352	0
-0.0323181	-0.000305176	0
-0.0319824	-0.000213623	0
-0.0344238	-0.000518799	0
-0.0350952	-0.00100708	0
-0.0353394	-0.000640869	0
-0.0330505	0.000366211	0
-0.0312195	0.000915527	0
-0.0326538	0.00106812	0
-0.0336914	0.000946045	0
-0.0360718	0.00088501	0
-0.0363464	0.00140381	0
-0.0360718	0.00167847	0
-0.0336609	0.00238037	0
-0.0341492	0.00231934	0
-0.0348206	0.00238037	0
-0.0365906	0.00256348	0
-0.0396118	0.00253296	0
-0.0417175	0.0022583	0
-0.0439148	0.00219727	0
-0.0465393	0.00170898	0
-0.0443115	0.0017395	0
-0.0462952	0.00164795	0
-0.0474854	0.00192261	0
-0.0476685	0.00186157	0
-0.0492859	0.00183105	0
-0.0510559	0.00128174	0
-0.0500793	0.00177002	0
-0.0515747	0.0015564	0
-0.0523071	0.0017395	0
-0.0554504	0.00128174	0
-0.0581055	0.00100708	0
-0.0593262	0.00125122	0
-0.0617371	0.00134277	0
-0.0625305	0.00134277	0
-0.0638428	0.00106812	0
-0.0654907	0.00106812	0
-0.0675049	0.000946045	0
-0.068573	0.000488281	0
-0.070282	0.000244141	0
-0.0691223	0.000549316	0
-0.0697327	0.00012207	0
-0.0723267	-0.000457764	0
-0.0730286	6.10352e-05	0
-0.0744629	0.000152588	0
-0.0741272	0.000488281	0
-0.075592	0.000549316	0
-0.0735779	0.00109863	0
-0.0767517	0.000183105	0
-0.0786438	-0.000427246	0
-0.0784912	-3.05176e-05	0
-0.0791626	3.05176e-05	0
-0.0803833	-9.15527e-05	0
-0.080719	-0.00012207	0
-0.0817566	-0.000427246	0
-0.0838318	-0.000732422	0
-0.0830383	-0.000488281	0
-0.0853882	-0.00100708	0
-0.0857544	-0.000823975	0
-0.086853	-0.000457764	0
-0.0886536	-0.000793457	0
-0.0898132	-0.00128174	0
-0.0908508	-0.000793457	0
-0.0934753	-0.0012207	0
-0.0950317	-0.00112915	0
-0.0985107	-0.00167847	0
-0.0985413	-0.00164795	0
-0.0989685	-0.00177002	0
-0.0999756	-0.00167847	0
-0.103333	-0.00204468	0
-0.104736	-0.00247192	0
-0.101959	-0.00201416	0
-0.103638	-0.00222778	0
-0.103577	-0.00192261	0
-0.10379	-0.00146484	0
-0.105194	-0.00158691	0
-0.108124	-0.00195312	0
-0.107147	-0.00152588	0
-0.10965	-0.00183105	0
-0.10965	-0.00183105	0
-0.113037	-0.00234985	0
-0.115051	-0.00241089	0
-0.114807	-0.00253296	0
-0.114044	-0.00213623	0
-0.111145	-0.00137329	0
-0.112244	-0.00100708	0
-0.112274	-0.00109863	0
-0.111633	-0.000823975	0
-0.115417	-0.00143433	0
-0.117676	-0.00125122	0
-0.11618	-0.000427246	0
-0.114349	-0.000305176	0
-0.117615	-0.00143433	0
-0.118958	-0.00119019	0
-0.121796	-0.00189209	0
-0.121826	-0.00192261	0
-0.123169	-0.00204468	0
-0.122467	-0.0020752	0
-0.122833	-0.00146484	0
-0.122864	-0.00106812	0
-0.124084	-0.00106812	0
-0.123962	-0.00106812	0
-0.125153	-0.000610352	0
-0.128479	-0.00088501	0
-0.127106	-0.000549316	0
-0.127716	-0.000732422	0
-0.128571	-0.00128174	0
-0.128967	-0.00100708	0
-0.130646	-0.000976562	0
