# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704675 	0.000432773 	0.135097 	0.000415952 	3.16567 	0.0182632 	2.56541 	0.0151058
0.35 	-0.881357 	0.000513627 	0.199279 	0.000645972 	4.02348 	0.0232787 	5.25755 	0.0314796
0.36 	-0.922405 	0.000535471 	0.223153 	0.000760333 	4.27674 	0.025853 	6.33753 	0.0396987
0.37 	-0.965642 	0.000576963 	0.24815 	0.000910327 	4.57436 	0.0267277 	7.4906 	0.0449566
0.38 	-1.01469 	0.000678479 	0.285213 	0.000980726 	5.13268 	0.0346402 	9.16609 	0.0516879
0.39 	-1.06965 	0.000785928 	0.330365 	0.00126752 	5.73076 	0.0398924 	11.0856 	0.0507265
0.4 	-1.1318 	0.000901068 	0.389207 	0.00157491 	6.66842 	0.0444243 	13.0494 	0.0593104
0.405 	-1.16467 	0.000861805 	0.422844 	0.00169381 	7.04638 	0.0440036 	13.7745 	0.0651053
0.41 	-1.20318 	0.00107294 	0.462526 	0.00185837 	7.63807 	0.0440127 	14.4887 	0.0681288
0.415 	-1.2419 	0.00116705 	0.503468 	0.00199069 	8.02411 	0.0478984 	14.5804 	0.0809208
0.42 	-1.2842 	0.00113696 	0.548303 	0.00184259 	8.34226 	0.0445612 	14.3748 	0.101036
0.425 	-1.3259 	0.00127093 	0.591373 	0.00188252 	8.35965 	0.044045 	13.6284 	0.120379
0.43 	-1.36694 	0.00118259 	0.63055 	0.00179463 	8.40516 	0.0449783 	12.7064 	0.128302
0.435 	-1.40569 	0.0011634 	0.669643 	0.00175375 	8.20144 	0.0478607 	11.1191 	0.15604
0.44 	-1.44906 	0.00111717 	0.711058 	0.00155632 	7.74818 	0.0533371 	9.20457 	0.146405
0.445 	-1.48566 	0.00111243 	0.743227 	0.00140887 	7.21817 	0.0518473 	7.76023 	0.15181
0.45 	-1.52031 	0.00102703 	0.769965 	0.00127996 	6.84203 	0.0537818 	6.6726 	0.150114
0.46 	-1.58422 	0.000858429 	0.820418 	0.000917671 	5.57623 	0.0508682 	3.83023 	0.107934
0.47 	-1.63434 	0.000719112 	0.852064 	0.00076322 	4.76324 	0.0418465 	2.62882 	0.0878794
0.48 	-1.67681 	0.000572928 	0.876211 	0.000618343 	4.02985 	0.0296498 	1.78476 	0.0760992
0.53 	-1.8174 	0.000342407 	0.941557 	0.000147556 	1.91649 	0.0124927 	0.338644 	0.00641917
