# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.3 	-0.704785 	0.000228154 	0.0672434 	0.000209637 	3.16313 	0.0196504 	2.60932 	0.0161325
0.35 	-0.879525 	0.000251617 	0.0984429 	0.000325834 	3.89208 	0.0197085 	5.55374 	0.0397756
0.36 	-0.920027 	0.000255146 	0.109283 	0.000392883 	4.10479 	0.0221495 	6.78686 	0.0524604
0.37 	-0.96239 	0.000271909 	0.122512 	0.000502989 	4.34913 	0.0250495 	8.46794 	0.0710179
0.38 	-1.00667 	0.000282891 	0.141123 	0.000635411 	4.61619 	0.0246545 	10.9257 	0.0947051
0.39 	-1.0548 	0.000339268 	0.165342 	0.000850244 	4.99906 	0.0291172 	14.6264 	0.13393
0.4 	-1.1078 	0.000358908 	0.204322 	0.00130806 	5.48377 	0.035584 	20.6323 	0.212374
0.405 	-1.13608 	0.000439814 	0.226415 	0.00176582 	5.93956 	0.042008 	25.1771 	0.274115
0.41 	-1.16679 	0.000496555 	0.259 	0.00198068 	6.42762 	0.0495889 	29.956 	0.295655
0.415 	-1.20077 	0.000641098 	0.299012 	0.00228186 	7.09516 	0.0548865 	36.0837 	0.311474
0.42 	-1.23799 	0.00080177 	0.350007 	0.002822 	8.02806 	0.0611638 	42.4179 	0.316276
0.425 	-1.28076 	0.00101107 	0.414462 	0.0029627 	8.99694 	0.0680417 	48.0073 	0.39296
0.43 	-1.32847 	0.00102596 	0.494433 	0.00342664 	9.69637 	0.066064 	47.9046 	0.65815
0.435 	-1.37761 	0.00112726 	0.573625 	0.00316398 	10.0795 	0.0680463 	41.3585 	0.781203
0.44 	-1.42788 	0.00106099 	0.647229 	0.00308157 	9.65538 	0.0873562 	32.6949 	1.02895
0.445 	-1.47337 	0.000878184 	0.706396 	0.00237962 	8.68211 	0.0885892 	22.4172 	0.946757
0.45 	-1.51503 	0.00081429 	0.754728 	0.00167456 	7.54224 	0.0879258 	14.1614 	0.775825
0.46 	-1.58175 	0.000558547 	0.814957 	0.00109821 	5.8772 	0.0680647 	6.17229 	0.584252
0.47 	-1.63537 	0.000357682 	0.85346 	0.000376399 	4.68398 	0.0302249 	2.52267 	0.0596371
0.48 	-1.67776 	0.000302686 	0.87763 	0.000256521 	3.94897 	0.0300292 	1.644 	0.0528892
0.53 	-1.81688 	0.000170995 	0.941221 	7.69448e-05 	1.94112 	0.0113962 	0.342401 	0.00292263
