#L 	y_max 	error 	c 	error 	x_max 	error
8	4.45785	0.00919478	593.07	13.9614	0.385299	0.000230184
16	14.5665	0.046176	7598.59	371.602	0.41435	0.000231895
32	48.151	0.316289	98303.4	7373.15	0.4273	0.000223387
48	97.4462	0.726678	418389	42362.7	0.431633	0.000282472
64	161.382	2.74119	1.28199e+06	158674	0.434605	0.000196286
80	224.16	10.6363	1.76716e+06	1.04365e+06	0.43574	0.000643281
96	299.078	13.0691	3.5732e+06	1.38832e+06	0.436379	0.000499235
112	389.576	15.3487	6.12288e+06	1.12568e+06	0.4366	0.000239442
128	445.139	12.6771	5.01151e+06	1.8165e+06	0.436559	0.000591188

# without Welford's algorithm
#8	4.456	0.00926604	590.145	13.6433	0.385274	0.000220862
#16	14.5685	0.0451007	7605.66	367.804	0.414354	0.000236969
#32	48.1321	0.317052	97910.8	7283.93	0.427269	0.000223887
#48	95.9817	1.09138	396806	31430.4	0.431621	0.000201468
#64	161.184	2.81529	1.27869e+06	161297	0.434594	0.000196186
#80	224.628	11.4471	1.78621e+06	1.13669e+06	0.435763	0.000686133
#96	297.177	13.3796	3.52805e+06	1.44385e+06	0.436351	0.000527317
#112	392.112	15.6367	6.3753e+06	1.16665e+06	0.436576	0.000240817
#128	445.297	13.1657	5.03789e+06	1.89749e+06	0.436559	0.000583994
