# beta 	<E> 	error 	<|M|> 	error 	d<E>/dT 	error 	d<|M|>/dh 	error
0.2 	-1.01823 	0.00149109 	0.310728 	0.000851356 	9.67185 	0.065112 	2.75923 	0.012525
0.22 	-1.23588 	0.00171308 	0.394469 	0.000987031 	12.7118 	0.072197 	3.71119 	0.0139737
0.23 	-1.37161 	0.00212315 	0.453238 	0.00106502 	14.5831 	0.0810113 	4.09482 	0.0148954
0.235 	-1.44961 	0.00195061 	0.488084 	0.00103177 	15.7019 	0.0807545 	4.24707 	0.0163491
0.24 	-1.52885 	0.00231919 	0.520735 	0.00113114 	16.4873 	0.0860676 	4.35503 	0.0170029
0.245 	-1.61881 	0.00213113 	0.559356 	0.00115396 	17.1824 	0.0818956 	4.35469 	0.0165543
0.25 	-1.70316 	0.00229028 	0.5956 	0.00114144 	17.6906 	0.0916592 	4.2499 	0.0198627
0.255 	-1.78525 	0.00232988 	0.629853 	0.00112533 	17.7822 	0.0741433 	4.09054 	0.0225148
0.26 	-1.88031 	0.00209901 	0.669269 	0.00103236 	17.5589 	0.0787603 	3.77574 	0.0212824
0.265 	-1.9657 	0.00225952 	0.702756 	0.000998782 	17.0433 	0.0809232 	3.47461 	0.0257526
0.27 	-2.04903 	0.00231795 	0.7352 	0.00101807 	16.4607 	0.0821048 	3.11297 	0.0246261
0.275 	-2.12979 	0.0021333 	0.766497 	0.000977149 	15.3312 	0.0801157 	2.6746 	0.0261369
0.28 	-2.20431 	0.00199126 	0.793272 	0.000825198 	14.1732 	0.0865579 	2.30114 	0.0231546
0.285 	-2.27248 	0.00200097 	0.81721 	0.000781916 	13.0144 	0.0670834 	1.93202 	0.0228979
0.29 	-2.33757 	0.0018168 	0.838957 	0.000712093 	11.9425 	0.0733063 	1.61256 	0.0205125
0.3 	-2.44348 	0.00157537 	0.872508 	0.000590983 	9.82462 	0.0675163 	1.1044 	0.0178988
0.31 	-2.53249 	0.00151429 	0.898094 	0.000478369 	7.94583 	0.0555855 	0.749403 	0.0139756
0.32 	-2.60159 	0.00126655 	0.916574 	0.000396295 	6.56724 	0.048239 	0.527203 	0.0103011
0.34 	-2.71206 	0.00107565 	0.9433 	0.000231132 	4.45127 	0.0295733 	0.266808 	0.00417988
0.36 	-2.78499 	0.000838158 	0.95946 	0.000188432 	3.16704 	0.0246725 	0.154542 	0.00275745
0.38 	-2.83891 	0.000820658 	0.970439 	0.000152381 	2.2978 	0.0190949 	0.0984617 	0.00193442
