# nm = 1000 nc = 10 len = 200 npart = 2 beta = 0.3
#part 	obs1 	obs2
0	31.3421	64.7134
1	33.6516	63.2484
0	31.1917	64.7653
1	33.8625	63.2549
0	31.2331	64.7384
1	33.6438	63.2517
0	30.9704	64.6665
1	33.8783	63.217
0	31.0542	64.7829
1	34.0855	63.2388
0	31.3879	64.7598
1	34.0992	63.1473
0	31.0207	64.7385
1	34.5958	63.2195
0	30.8037	64.7455
1	34.7967	63.4008
0	31.1626	64.8746
1	35.5426	63.3233
0	31.6911	64.7445
1	35.5955	63.2165
0	31.4891	64.9296
1	36.186	63.272
0	31.4298	64.9035
1	36.7102	63.3077
0	30.9637	64.7957
1	36.7727	63.2183
0	31.1202	64.8467
1	35.7783	63.2877
0	31.3162	64.844
1	35.6322	63.1374
0	32.0903	65.0263
1	36.0508	63.2485
0	31.7635	64.8992
1	36.3708	63.3702
0	31.7637	64.8374
1	36.3369	63.3794
0	31.8668	64.807
1	36.4145	63.34
0	32.1644	64.8431
1	36.3892	63.2956
0	31.8174	64.811
1	36.2015	63.2143
0	31.1615	64.7065
1	37.2556	63.2645
0	31.2834	64.7961
1	37.3852	63.2515
0	31.8105	64.8448
1	37.4916	63.2342
0	31.8683	64.8237
1	36.9619	63.2169
0	31.4626	64.8623
1	36.8657	63.2878
0	31.5635	64.8374
1	37.4189	63.2333
0	31.6006	64.8229
1	38.1486	63.2414
0	31.964	64.8337
1	39.5318	63.2877
0	31.7547	64.7463
1	40.5809	63.3036
0	31.6563	64.8128
1	40.6453	63.3368
0	32.1623	64.8044
1	39.8059	63.2761
0	32.366	64.8074
1	39.7649	63.3927
0	32.2222	64.7553
1	39.694	63.3785
0	32.0722	64.777
1	40.0752	63.3228
0	31.6988	64.7661
1	39.0767	63.3855
0	32.1068	64.9006
1	38.1154	63.2982
0	31.8824	64.7478
1	38.7704	63.5704
0	32.668	64.9178
1	38.8226	63.3579
0	32.9608	64.8605
1	37.7288	63.3203
0	33.703	64.9141
1	37.4978	63.3572
0	34.5203	64.753
1	36.7493	63.2784
0	34.0364	64.7008
1	36.4376	63.3732
0	35.0879	64.8023
1	35.8772	63.2654
0	35.5099	64.7659
1	36.0891	63.245
0	36.0782	64.8076
1	35.5484	63.2303
0	36.8952	64.8053
1	35.4442	63.2147
0	36.3164	64.8383
1	36.2851	63.3136
0	34.9628	64.8756
1	37.3227	63.4129
0	34.512	64.7129
1	37.1484	63.4174
0	33.7498	64.7568
1	36.0043	63.3168
0	33.7973	64.7395
1	36.3938	63.2908
0	33.0817	64.7392
1	36.4503	63.2754
0	33.0016	64.6771
1	36.6569	63.3045
0	33.6058	64.7887
1	35.945	63.2419
0	33.8095	64.817
1	35.9784	63.2625
0	33.7236	64.7822
1	36.3929	63.4045
0	34.0993	64.9138
1	36.4529	63.3476
0	35.4134	64.7834
1	36.8616	63.2368
0	35.2455	64.862
1	37.9285	63.3404
0	35.2235	64.8786
1	38.6996	63.3765
0	35.7366	64.8619
1	38.1283	63.4079
0	36.4227	64.9306
1	38.5067	63.4606
0	36.7245	64.8255
1	37.8785	63.2588
0	36.4072	64.8993
1	37.4153	63.2425
0	36.296	64.838
1	37.382	63.2678
0	37.3401	64.8835
1	35.9944	63.2756
0	37.5701	64.757
1	37.039	63.337
0	36.7766	64.7778
1	36.8137	63.3103
0	36.6211	64.6663
1	36.8387	63.3303
0	36.4124	64.7468
1	37.1859	63.3556
0	34.7331	64.7558
1	36.5713	63.2473
0	36.9158	64.7431
1	36.1728	63.3163
0	38.0518	64.9063
1	35.4902	63.3439
0	37.6387	64.7654
1	35.7579	63.2884
0	38.3712	64.9227
1	36.1664	63.3693
0	38.1893	64.8007
1	35.8381	63.3685
0	39.7938	64.8276
1	35.6744	63.3896
0	39.9818	64.9431
1	35.974	63.3368
0	39.7486	64.9258
1	35.7748	63.2719
0	41.0994	64.9168
1	35.9115	63.2516
0	39.2297	64.8794
1	36.6301	63.2471
0	39.2153	64.986
1	37.3425	63.2697
0	38.4617	64.9158
1	37.6407	63.2853
0	37.9573	64.9605
1	37.7313	63.274
0	37.4575	64.8315
1	36.9874	63.2414
0	37.1505	64.8754
1	36.7995	63.1936
0	36.5185	64.8492
1	37.0488	63.2745
0	35.5361	64.7895
1	37.5848	63.2912
0	36.8258	64.8472
1	37.7787	63.3676
0	36.2816	64.7992
1	36.7977	63.2928
0	37.0667	64.8366
1	36.964	63.2132
0	37.9423	64.8783
1	36.7212	63.3931
0	37.6196	64.919
1	36.087	63.1971
0	36.3968	64.8622
1	36.1682	63.2898
0	36.827	64.7554
1	36.8953	63.2671
0	35.877	64.7509
1	37.2382	63.4126
0	34.5422	64.6795
1	38.473	63.3121
0	35.1548	64.8407
1	38.6465	63.4127
0	34.4927	64.7303
1	38.3524	63.28
0	34.4063	64.7216
1	38.3287	63.3503
0	34.3251	64.8451
1	38.4677	63.2783
0	34.3601	64.7343
1	37.9733	63.3611
0	34.2259	64.709
1	37.7312	63.2895
0	34.9936	64.6793
1	37.5218	63.3059
0	35.8905	64.8844
1	37.0858	63.2743
0	35.6647	64.8704
1	37.8646	63.3458
0	34.8086	64.7084
1	37.8533	63.3082
0	35.5514	64.7359
1	37.368	63.1748
0	35.7745	64.7633
1	37.2653	63.3422
0	36.1642	64.6645
1	37.11	63.3861
0	37.1579	64.8575
1	36.5162	63.2724
0	36.2591	64.6849
1	36.55	63.3087
0	35.9436	64.912
1	35.2155	63.2704
0	37.6394	64.8058
1	34.5926	63.4023
0	37.2394	64.8013
1	34.3846	63.3576
0	37.8637	64.7945
1	34.1262	63.242
0	36.3183	64.7701
1	34.9389	63.3011
0	35.8709	64.7786
1	34.7678	63.3366
0	36.0378	64.7508
1	34.4318	63.3617
0	36.2839	64.8289
1	34.4167	63.2498
0	36.4661	64.9463
1	34.425	63.2731
0	35.6317	64.9006
1	34.6992	63.3191
0	35.5527	64.8583
1	34.7418	63.3087
0	35.2209	64.8758
1	35.0299	63.4344
0	36.057	64.8941
1	35.4421	63.3776
0	35.9415	64.8235
1	35.0934	63.2608
0	35.5969	64.8281
1	36.11	63.2676
0	35.0138	64.7674
1	35.5257	63.3116
0	35.2234	64.7992
1	35.906	63.3078
0	35.0814	64.8918
1	36.3101	63.4136
0	34.3874	64.7833
1	36.3984	63.4338
0	34.0611	64.7462
1	36.8964	63.4015
0	34.2021	64.8146
1	36.0774	63.2904
0	35.1275	64.8081
1	36.9346	63.3309
0	34.8472	64.7615
1	37.4301	63.3748
0	34.2683	64.7268
1	37.262	63.297
0	33.7568	64.8635
1	37.4936	63.3471
0	34.2172	64.8419
1	37.654	63.3899
0	34.0732	64.7307
1	38.0358	63.4807
0	34.2133	64.7229
1	37.9717	63.2975
0	34.7942	64.763
1	36.7399	63.161
0	35.5508	64.8761
1	36.5557	63.2292
0	35.2005	64.6925
1	36.1467	63.3014
0	35.4825	64.7971
1	36.387	63.3103
0	35.4661	64.7856
1	35.4937	63.2615
0	35.5301	64.935
1	35.9707	63.2929
0	35.366	64.9062
1	36.42	63.3617
0	34.4521	64.8617
1	36.5373	63.2603
0	35.0416	64.7758
1	36.3864	63.3159
0	35.0094	64.7748
1	36.3182	63.262
0	35.9726	64.8311
1	35.2756	63.272
0	36.8158	64.8855
1	35.0743	63.3337
0	35.9371	64.7681
1	35.0387	63.2068
0	36.2072	64.7796
1	34.6518	63.2313
0	35.478	64.7452
1	34.8351	63.2385
0	35.1204	64.7877
1	34.7736	63.3503
0	35.4783	64.87
1	35.1256	63.1993
0	34.9072	64.7397
1	35.484	63.2956
0	35.8949	64.7918
1	35.6528	63.4642
0	36.3294	64.7646
1	34.8641	63.2329
0	35.6375	64.7231
1	35.0485	63.2402
0	36.8325	64.8368
1	35.1629	63.3165
0	35.9417	64.7734
1	36.266	63.2178
0	36.8354	64.791
1	36.3564	63.3737
0	35.8852	64.7849
1	35.9294	63.2616
0	35.1164	64.7228
1	36.783	63.3117
0	36.2509	64.7266
1	36.7048	63.4483
0	37.9227	64.8207
1	36.9118	63.3435
0	38.165	64.9231
1	36.4335	63.3735
0	37.9714	64.8219
1	36.6324	63.2566
0	37.4709	64.7829
1	36.7923	63.3467
0	36.4715	64.7772
1	36.9279	63.2581
0	37.2595	64.8739
1	36.7162	63.2079
0	37.3337	64.7814
1	36.4606	63.3916
0	38.3753	64.9453
1	37.2736	63.3818
0	38.5145	64.8491
1	37.9417	63.3997
0	38.8243	64.8976
1	36.9167	63.3656
0	38.9496	64.8816
1	36.9305	63.2795
0	39.5521	64.8925
1	37.2278	63.3483
0	40.3448	64.9202
1	37.0279	63.308
0	39.9788	64.9697
1	36.4523	63.2942
0	41.8999	64.8657
1	35.3056	63.224
0	41.8228	64.8928
1	36.4354	63.2567
0	42.6443	64.8233
1	36.8805	63.2454
0	44.3208	64.8565
1	36.6363	63.2946
0	44.5713	64.8901
1	36.6776	63.3743
0	44.9856	64.8475
1	36.1433	63.2308
0	45.5324	64.8814
1	36.2509	63.3271
0	47.3179	64.9512
1	36.9969	63.4428
0	47.5036	64.7928
1	37.2347	63.3487
0	47.4686	64.8932
1	37.0206	63.3321
0	48.1954	64.8844
1	38.0496	63.417
0	47.6654	64.8245
1	37.9416	63.423
0	47.2134	64.8673
1	37.8468	63.313
