# nm = 1000 nc = 100 len = 128 npart = 1 beta = 3
#part 	obs1 	obs2
0	0.345285	0.0120308
0	0.394905	0.0130859
0	0.464778	0.0120683
0	0.473316	0.0104526
0	0.51783	0.0134811
0	0.467412	0.0121376
0	0.434503	0.0113942
0	0.476867	0.0126261
0	0.499471	0.0124246
0	0.558719	0.012449
0	0.432749	0.0110896
0	0.441091	0.0130832
0	0.467054	0.0123793
0	0.40838	0.0106964
0	0.40526	0.0109564
0	0.481018	0.0102742
0	0.385165	0.00988063
0	0.368156	0.0121386
0	0.34101	0.00979292
0	0.364208	0.0130563
0	0.33731	0.0121681
0	0.348416	0.0109499
0	0.450123	0.0118185
0	0.5134	0.0133541
0	0.297928	0.013212
0	0.306669	0.0104072
0	0.154972	0.00999652
0	0.163569	0.013811
0	0.14851	0.0113475
0	0.118437	0.0105445
0	0.125013	0.0125271
0	0.072906	0.0106283
0	0.13948	0.0118232
0	0.166964	0.0124684
0	0.169044	0.0110851
0	0.203591	0.0139266
0	0.189629	0.00927389
0	0.282345	0.0118524
0	0.221694	0.0113767
0	0.196072	0.0123964
0	0.152881	0.0112278
0	0.12885	0.0131117
0	0.198893	0.0125659
0	0.218897	0.0118174
0	0.207441	0.0114369
0	0.193929	0.0119263
0	0.245682	0.00987505
0	0.326934	0.0118625
0	0.304492	0.010726
0	0.293176	0.0124341
0	0.394947	0.0152197
0	0.369347	0.00961067
0	0.368269	0.0113732
0	0.30384	0.0110216
0	0.279066	0.00923861
0	0.265823	0.0110421
0	0.403765	0.0125549
0	0.396274	0.0127087
0	0.399661	0.012294
0	0.425726	0.0136012
0	0.331207	0.0112064
0	0.309238	0.0119239
0	0.341798	0.0101286
0	0.321038	0.0115696
0	0.345934	0.0142634
0	0.308353	0.0109559
0	0.35073	0.0100651
0	0.263085	0.0109884
0	0.323144	0.0121155
0	0.327367	0.010928
0	0.350249	0.0131084
0	0.257966	0.0106052
0	0.341151	0.0122113
0	0.351009	0.0112237
0	0.371698	0.0105109
0	0.434406	0.0113096
0	0.387342	0.0104407
0	0.501951	0.0161881
0	0.556598	0.0129432
0	0.456595	0.00888977
0	0.530591	0.0118292
0	0.55576	0.0124531
0	0.659358	0.0139163
0	0.605618	0.0122119
0	0.622195	0.0108771
0	0.650236	0.0101156
0	0.726033	0.0132058
0	0.635664	0.0119913
0	0.611407	0.0106488
0	0.530451	0.00972566
0	0.551956	0.0102223
0	0.654991	0.00932615
0	0.704507	0.0101741
0	0.627548	0.0136783
0	0.576631	0.0122184
0	0.561522	0.0123126
0	0.440313	0.0103531
0	0.334095	0.00938927
0	0.245267	0.0110533
0	0.203497	0.0115166
0	0.196191	0.0109132
0	0.265808	0.0112856
0	0.375689	0.0140121
0	0.344031	0.0106415
0	0.35775	0.011216
0	0.295467	0.0127419
0	0.285676	0.0113119
0	0.32494	0.00914225
0	0.411206	0.0115173
0	0.45486	0.0118833
0	0.439705	0.00821642
0	0.426577	0.0119073
0	0.253663	0.0125719
0	0.179213	0.00927285
0	0.160524	0.0127226
0	0.115261	0.0111529
0	0.145588	0.0117191
0	0.143502	0.0111782
0	0.180299	0.0123398
0	0.232249	0.0123553
0	0.16193	0.0112151
0	0.123783	0.0132424
0	0.144802	0.011751
0	0.171269	0.00901505
0	0.179212	0.00906762
0	0.182787	0.00966162
0	0.22935	0.0100479
0	0.195319	0.00998362
0	0.13085	0.0110928
0	0.16943	0.0111425
0	0.187995	0.0117615
0	0.163495	0.0100483
0	0.242021	0.00894787
0	0.188923	0.0135661
0	0.25823	0.0127301
0	0.229371	0.00995966
0	0.186089	0.0118418
0	0.313211	0.011741
0	0.215427	0.0133104
0	0.268654	0.0106682
0	0.249175	0.0115848
0	0.199537	0.0106989
0	0.197236	0.0115041
0	0.163046	0.0134857
0	0.213084	0.0143505
0	0.170273	0.0128847
0	0.132584	0.0106367
0	0.102393	0.0102059
0	0.106735	0.0135676
0	0.091308	0.010308
0	0.0994859	0.0134622
0	0.0948266	0.00941734
0	0.15954	0.0121727
0	0.147233	0.0121268
0	0.152108	0.0125921
0	0.218723	0.0109415
0	0.261834	0.0119023
0	0.313464	0.0118625
0	0.315512	0.0133557
0	0.287936	0.0135809
0	0.327013	0.0131532
0	0.506059	0.00966235
0	0.585101	0.0134066
0	0.588745	0.0110206
0	0.640086	0.0126048
0	0.586175	0.0118598
0	0.455256	0.0136514
0	0.398707	0.00954465
0	0.303516	0.0127908
0	0.355955	0.0115258
0	0.353185	0.0101708
0	0.26459	0.0102468
0	0.317789	0.0111522
0	0.281697	0.0110635
0	0.229666	0.0111753
0	0.178883	0.00999276
0	0.235081	0.0119046
0	0.23541	0.010903
0	0.299223	0.0125612
0	0.341856	0.00988255
0	0.269141	0.0120995
0	0.316767	0.0130785
0	0.369522	0.0123819
0	0.498579	0.0118551
0	0.402534	0.0107716
0	0.379565	0.0132536
0	0.394445	0.00909815
0	0.475788	0.00957383
0	0.569275	0.00962872
0	0.723841	0.0142656
0	0.684791	0.0130539
0	0.642197	0.0108394
0	0.599718	0.0146392
0	0.532483	0.0107768
0	0.417209	0.0093897
0	0.436877	0.0115542
0	0.507078	0.0129776
0	0.471951	0.0113787
0	0.630485	0.0126826
0	0.737219	0.0112626
0	0.786844	0.00975746
0	0.704485	0.0112038
0	0.416905	0.0129653
0	0.521026	0.00986422
0	0.575065	0.0120862
0	0.613351	0.0130621
0	0.522332	0.0110296
0	0.645246	0.0123703
0	0.633378	0.0109255
0	0.540103	0.0119922
0	0.392799	0.00935333
0	0.39085	0.0109021
0	0.428651	0.00917992
0	0.36739	0.0143744
0	0.347578	0.0114456
0	0.217798	0.0140348
0	0.178526	0.00840741
0	0.257785	0.0112999
0	0.256835	0.0114964
0	0.355705	0.0106819
0	0.393871	0.0126914
0	0.449823	0.0121729
0	0.521229	0.0129616
0	0.56119	0.0116745
0	0.548003	0.011602
0	0.463663	0.0128951
0	0.609616	0.0136128
0	0.634248	0.0134543
0	0.605928	0.0118176
0	0.64631	0.0126365
0	0.628512	0.0107255
0	0.709197	0.0119677
0	0.636318	0.0132263
0	0.653692	0.0130512
0	0.657967	0.0112633
0	0.640803	0.0136088
0	0.646307	0.0122947
0	0.574287	0.0085507
0	0.580247	0.0109018
0	0.704981	0.0117666
0	0.464116	0.0115222
0	0.410159	0.0115909
0	0.368103	0.0108266
0	0.452548	0.0118127
0	0.453152	0.0131335
0	0.462795	0.0125076
0	0.521601	0.012856
0	0.581492	0.0111177
0	0.583289	0.013106
0	0.465324	0.0112608
0	0.5057	0.0128755
0	0.483402	0.0121794
0	0.521843	0.0129062
0	0.54311	0.011943
0	0.450369	0.0114517
0	0.6082	0.0128181
0	0.612126	0.0111167
0	0.669722	0.0115264
0	0.783298	0.0131126
0	0.631444	0.0126692
0	0.524444	0.0122819
0	0.416099	0.0102687
0	0.444408	0.0118281
0	0.383132	0.0121714
0	0.408831	0.0111192
0	0.491144	0.0126562
0	0.574766	0.0126921
0	0.478575	0.0125116
0	0.454472	0.0106619
0	0.400236	0.0121894
0	0.399844	0.013321
0	0.404368	0.00976758
0	0.355202	0.0122569
