#part 	tau 	tpccorr
0	0	0.337685
0	1	0.325654
0	2	0.31182
0	3	0.301069
0	4	0.289958
0	5	0.280063
0	6	0.269297
0	7	0.257219
0	8	0.242242
0	9	0.227619
0	10	0.214393
0	11	0.199042
0	12	0.182788
0	13	0.169234
0	14	0.157081
0	15	0.142504
0	16	0.123931
0	17	0.104562
0	18	0.0880679
0	19	0.0765548
0	20	0.0661017
0	21	0.0518992
0	22	0.0376157
0	23	0.0201082
0	24	0.00216098
0	25	-0.0147467
0	26	-0.0309903
0	27	-0.0468703
0	28	-0.0610729
0	29	-0.0698189
0	30	-0.0790385
0	31	-0.0900714
0	32	-0.10068
0	33	-0.10742
0	34	-0.108004
0	35	-0.108482
0	36	-0.110577
0	37	-0.113507
0	38	-0.115731
0	39	-0.118363
0	40	-0.119147
0	41	-0.117157
0	42	-0.118045
0	43	-0.120305
0	44	-0.119304
0	45	-0.119175
0	46	-0.122008
0	47	-0.125992
0	48	-0.127945
0	49	-0.12931
0	50	-0.131784
0	51	-0.13266
0	52	-0.133345
0	53	-0.135322
0	54	-0.135226
0	55	-0.133606
0	56	-0.130412
0	57	-0.128525
0	58	-0.125984
0	59	-0.122218
0	60	-0.116923
0	61	-0.112195
0	62	-0.111558
0	63	-0.111306
0	0	0.392832
0	1	0.379746
0	2	0.366999
0	3	0.353608
0	4	0.336965
0	5	0.318502
0	6	0.299386
0	7	0.28005
0	8	0.26531
0	9	0.254016
0	10	0.241439
0	11	0.227898
0	12	0.219053
0	13	0.209121
0	14	0.19928
0	15	0.188169
0	16	0.172981
0	17	0.156897
0	18	0.139752
0	19	0.118058
0	20	0.0932694
0	21	0.0677857
0	22	0.0423044
0	23	0.0200667
0	24	-0.00286074
0	25	-0.0267451
0	26	-0.0488649
0	27	-0.067281
0	28	-0.0825372
0	29	-0.0955898
0	30	-0.106663
0	31	-0.113618
0	32	-0.118054
0	33	-0.121298
0	34	-0.127304
0	35	-0.132604
0	36	-0.136861
0	37	-0.142734
0	38	-0.149561
0	39	-0.158519
0	40	-0.168045
0	41	-0.174855
0	42	-0.17921
0	43	-0.183537
0	44	-0.187341
0	45	-0.18965
0	46	-0.182763
0	47	-0.174855
0	48	-0.164955
0	49	-0.153714
0	50	-0.143532
0	51	-0.132847
0	52	-0.124789
0	53	-0.116733
0	54	-0.115371
0	55	-0.114522
0	56	-0.11311
0	57	-0.114723
0	58	-0.116609
