#ampl [mV]	stdev [cm]	m [s/dam]	dm	q [ms]	dq	c [ms]	dc
-5500	40	0.339378	0.00133379	4.40425	0.100728	7.69	0.01
-6000	40	0.339373	0.00133375	1.40571	0.100726	6.98	0.01
-6500	40	0.339372	0.00133375	-0.55922	0.100726	6.6	0.01
-7000	40	0.339378	0.00133378	-2.06572	0.100728	6.34	0.01
-7500	40	0.339298	0.00133347	-3.29325	0.100704	6.14	0.01
-8000	40	0.339226	0.00133319	-4.33586	0.100683	5.99	0.01
-8500	40	0.339144	0.00133286	-5.24071	0.100658	5.86	0.01
-9000	40	0.339094	0.00133267	-6.04393	0.100644	5.75	0.01
-5500	35	0.339378	0.00133375	1.18428	0.100725	6.75	0.01
-6000	35	0.339361	0.00133371	-0.486648	0.100722	6.41	0.01
-6500	35	0.339378	0.00133377	-1.79094	0.100727	6.17	0.01
-7000	35	0.339308	0.0013335	-2.86002	0.100707	5.99	0.01
-7500	35	0.339243	0.00133322	-3.76997	0.100685	5.84	0.01
-8000	35	0.339256	0.0013333	-4.56831	0.100691	5.73	0.01
-8500	35	0.339208	0.0013331	-5.27079	0.100677	5.63	0.01
-9000	35	0.339192	0.00133304	-5.90287	0.100672	5.55	0.01
-5500	30	0.3394	0.00133386	-0.289994	0.100734	6.2	0.01
-6000	30	0.33934	0.00133363	-1.39788	0.100716	5.99	0.01
-6500	30	0.339317	0.00133354	-2.31593	0.100709	5.82	0.01
-7000	30	0.339308	0.0013335	-3.10003	0.100707	5.7	0.01
-7500	30	0.339299	0.00133346	-3.78326	0.100703	5.59	0.01
-8000	30	0.339308	0.00133351	-4.39008	0.100707	5.51	0.01
-8500	30	0.339245	0.00133325	-4.92878	0.100688	5.43	0.01
-9000	30	0.339212	0.00133313	-5.41795	0.100678	5.37	0.01
-5500	25	0.339378	0.00133379	-0.885728	0.100728	5.8	0.01
-6000	25	0.339373	0.00133376	-1.65428	0.100726	5.65	0.01
-6500	25	0.339378	0.00133377	-2.31094	0.100727	5.54	0.01
-7000	25	0.339322	0.00133356	-2.87896	0.100711	5.45	0.01
-7500	25	0.339359	0.0013337	-3.38711	0.100722	5.37	0.01
-8000	25	0.339374	0.00133376	-3.84171	0.100726	5.31	0.01
-8500	25	0.339374	0.00133374	-4.25173	0.100725	5.26	0.01
-9000	25	0.339378	0.00133379	-4.62573	0.100728	5.22	0.01
-5500	20	0.339373	0.00133375	-0.854299	0.100726	5.47	0.01
-6000	20	0.339373	0.00133375	-1.38168	0.100726	5.37	0.01
-6500	20	0.339378	0.00133377	-1.84094	0.100727	5.3	0.01
-7000	20	0.339372	0.00133375	-2.24661	0.100726	5.24	0.01
-7500	20	0.339372	0.00133375	-2.60922	0.100726	5.19	0.01
-8000	20	0.339372	0.00133375	-2.93662	0.100725	5.15	0.01
-8500	20	0.339331	0.00133359	-3.23154	0.100713	5.12	0.01
-9000	20	0.3394	0.00133386	-3.51002	0.100734	5.1	0.01
-5500	15	0.339356	0.00133369	-0.291732	0.100721	5.2	0.01
-6000	15	0.339372	0.00133375	-0.636612	0.100725	5.15	0.01
-6500	15	0.339377	0.00133376	-0.940873	0.100726	5.11	0.01
-7000	15	0.339378	0.00133377	-1.21094	0.100727	5.08	0.01
-7500	15	0.339356	0.00133369	-1.57173	0.10072	0.8	0.01
-8000	15	-0.000431991	5.90496e-05	0.0391385	0.00445932	0.02	0.01
-8500	15	-0.000431991	5.90496e-05	0.0391385	0.00445932	0.02	0.01
-9000	15	-0.000215307	5.8936e-05	0.0195176	0.00445084	0.01	0.01
-5500	10	-0.000431991	5.90496e-05	0.0391385	0.00445932	0.02	0.01
-6000	10	-0.000215307	5.8936e-05	0.0195176	0.00445084	0.01	0.01
-6500	10	-0.000215307	5.8936e-05	0.0195176	0.00445084	0.01	0.01
-7000	10	9.7583e-09	5.88983e-05	0.00999928	0.00444802	0.01	0.01
-7500	10	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.67576e-310	0.01
-8000	10	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.68025e-310	0.01
-8500	10	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.68899e-310	0.01
-9000	10	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.6369e-310	0.01
-5500	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.64231e-310	0.01
-6000	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.64626e-310	0.01
-6500	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.68459e-310	0.01
-7000	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.68342e-310	0.01
-7500	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.65985e-310	0.01
-8000	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.64906e-310	0.01
-8500	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.64518e-310	0.01
-9000	5	-2.18111e-10	5.88983e-05	1.55428e-08	0.00444802	4.64566e-310	0.01
