#time	fwdEuler	bwdEuler	Heun	RK4
0 	0 	0 	0 	0
101010101.010101 	-nan 	-nan 	-nan 	-nan
202020202.020202 	-nan 	-nan 	-nan 	-nan
303030303.030303 	-nan 	-nan 	-nan 	-nan
404040404.040404 	-nan 	-nan 	-nan 	-nan
505050505.050505 	-nan 	-nan 	-nan 	-nan
606060606.060606 	-nan 	-nan 	-nan 	-nan
707070707.070707 	-nan 	-nan 	-nan 	-nan
808080808.080808 	-nan 	-nan 	-nan 	-nan
909090909.090909 	-nan 	-nan 	-nan 	-nan
1010101010.10101 	-nan 	-nan 	-nan 	-nan
1111111111.11111 	-nan 	-nan 	-nan 	nan
1212121212.12121 	-nan 	-nan 	-nan 	nan
1313131313.13131 	-nan 	-nan 	-nan 	nan
1414141414.14141 	-nan 	-nan 	-nan 	nan
1515151515.15152 	-nan 	-nan 	-nan 	nan
1616161616.16162 	-nan 	-nan 	-nan 	nan
1717171717.17172 	-nan 	-nan 	-nan 	nan
1818181818.18182 	-nan 	-nan 	-nan 	nan
1919191919.19192 	-nan 	-nan 	-nan 	nan
2020202020.20202 	-nan 	-nan 	-nan 	nan
2121212121.21212 	-nan 	-nan 	nan 	nan
2222222222.22222 	-nan 	-nan 	nan 	nan
2323232323.23232 	-nan 	-nan 	nan 	nan
2424242424.24242 	-nan 	-nan 	nan 	nan
2525252525.25253 	-nan 	-nan 	nan 	nan
2626262626.26263 	-nan 	-nan 	nan 	nan
2727272727.27273 	-nan 	-nan 	nan 	nan
2828282828.28283 	-nan 	-nan 	nan 	nan
2929292929.29293 	-nan 	-nan 	nan 	nan
3030303030.30303 	-nan 	-nan 	nan 	nan
3131313131.31313 	-nan 	-nan 	nan 	nan
3232323232.32323 	-nan 	-nan 	nan 	nan
3333333333.33333 	-nan 	-nan 	nan 	nan
3434343434.34343 	-nan 	-nan 	nan 	nan
3535353535.35354 	-nan 	-nan 	nan 	nan
3636363636.36364 	-nan 	-nan 	nan 	nan
3737373737.37374 	-nan 	-nan 	nan 	nan
3838383838.38384 	-nan 	-nan 	nan 	nan
3939393939.39394 	-nan 	-nan 	nan 	nan
4040404040.40404 	-nan 	-nan 	nan 	nan
4141414141.41414 	-nan 	-nan 	nan 	nan
4242424242.42424 	-nan 	-nan 	nan 	nan
4343434343.43434 	-nan 	-nan 	nan 	nan
4444444444.44444 	-nan 	-nan 	nan 	nan
4545454545.45455 	-nan 	-nan 	nan 	nan
4646464646.46465 	-nan 	-nan 	nan 	nan
4747474747.47475 	-nan 	-nan 	nan 	nan
4848484848.48485 	-nan 	-nan 	nan 	nan
4949494949.49495 	-nan 	-nan 	nan 	nan
5050505050.50505 	-nan 	-nan 	nan 	nan
5151515151.51515 	-nan 	-nan 	nan 	nan
5252525252.52525 	-nan 	-nan 	nan 	nan
5353535353.53535 	-nan 	-nan 	nan 	nan
5454545454.54545 	-nan 	-nan 	nan 	nan
5555555555.55556 	-nan 	-nan 	nan 	nan
5656565656.56566 	-nan 	-nan 	nan 	nan
5757575757.57576 	-nan 	-nan 	nan 	nan
5858585858.58586 	-nan 	-nan 	nan 	nan
5959595959.59596 	-nan 	-nan 	nan 	nan
6060606060.60606 	-nan 	-nan 	nan 	nan
6161616161.61616 	-nan 	-nan 	nan 	nan
6262626262.62626 	-nan 	-nan 	nan 	nan
6363636363.63636 	-nan 	-nan 	nan 	nan
6464646464.64646 	-nan 	-nan 	nan 	nan
6565656565.65657 	-nan 	-nan 	nan 	nan
6666666666.66667 	-nan 	-nan 	nan 	nan
6767676767.67677 	-nan 	-nan 	nan 	nan
6868686868.68687 	-nan 	-nan 	nan 	nan
6969696969.69697 	-nan 	-nan 	nan 	nan
7070707070.70707 	-nan 	-nan 	nan 	nan
7171717171.71717 	-nan 	-nan 	nan 	nan
7272727272.72727 	-nan 	-nan 	nan 	nan
7373737373.73737 	-nan 	-nan 	nan 	nan
7474747474.74747 	-nan 	-nan 	nan 	nan
7575757575.75758 	-nan 	-nan 	nan 	nan
7676767676.76768 	-nan 	-nan 	nan 	nan
7777777777.77778 	-nan 	-nan 	nan 	nan
7878787878.78788 	-nan 	-nan 	nan 	nan
7979797979.79798 	-nan 	-nan 	nan 	nan
8080808080.80808 	-nan 	-nan 	nan 	nan
8181818181.81818 	-nan 	-nan 	nan 	nan
8282828282.82828 	-nan 	-nan 	nan 	nan
8383838383.83838 	-nan 	-nan 	nan 	nan
8484848484.84848 	-nan 	-nan 	nan 	nan
8585858585.85859 	-nan 	-nan 	nan 	nan
8686868686.86869 	-nan 	-nan 	nan 	nan
8787878787.87879 	-nan 	-nan 	nan 	nan
8888888888.88889 	-nan 	-nan 	nan 	nan
8989898989.89899 	-nan 	-nan 	nan 	nan
9090909090.90909 	-nan 	-nan 	nan 	nan
9191919191.91919 	-nan 	-nan 	nan 	nan
9292929292.92929 	-nan 	-nan 	nan 	nan
9393939393.93939 	-nan 	-nan 	nan 	nan
9494949494.9495 	-nan 	-nan 	nan 	nan
9595959595.95959 	-nan 	-nan 	nan 	nan
9696969696.9697 	-nan 	-nan 	nan 	nan
9797979797.9798 	-nan 	-nan 	nan 	nan
9898989898.9899 	-nan 	-nan 	nan 	nan
10000000000 	-nan 	-nan 	nan 	nan
