#h	fwdEuler	bwdEuler	Heun	RK4
100 	0.00202940831600218 	0.00203447962280756 	8.99003768946027e-05 	1.68343506223856e-06
102 	0.00198984192131824 	0.00199369660156257 	8.57552788153804e-05 	1.78461672817321e-06
105 	0.00194609329416129 	0.0019220198344434 	6.68131818164497e-05 	3.10719523444192e-08
109 	0.00187369555644912 	0.00185135631464828 	6.17809571237249e-05 	2.6638709238469e-08
112 	0.00181053287478705 	0.00181449332911043 	7.09790303299318e-05 	1.34019926711915e-06
115 	0.00175934275256284 	0.00177055078020882 	7.09320030256588e-05 	5.20445523233271e-06
118 	0.00171821137571104 	0.00172110458627728 	6.33622267316447e-05 	1.31435766315136e-06
122 	0.00166150409615073 	0.00166421375818593 	5.913772715882e-05 	1.22599613527896e-06
125 	0.00163096247701455 	0.00161397898327031 	4.64261308641412e-05 	1.51767440836892e-08
129 	0.00157979183699397 	0.00156384646814511 	4.34836103895275e-05 	1.33385464895497e-08
133 	0.00153173265805329 	0.00151673324891743 	4.08122620407791e-05 	1.1770388885779e-08
137 	0.00148650967739639 	0.00147237463733929 	3.83797567793387e-05 	1.04260362565611e-08
141 	0.00144387915358291 	0.00143053599519494 	3.61584441712637e-05 	9.26823218172501e-09
145 	0.00140362448251796 	0.00139100858881802 	3.41245627193398e-05 	8.2667561684957e-09
149 	0.00136555252490833 	0.00135360611124691 	3.22576014344378e-05 	7.39695660278983e-09
153 	0.00132949051412012 	0.00131816174988941 	3.05397804185592e-05 	6.63858568117348e-09
158 	0.00128097217166045 	0.00128260270410818 	3.47170647465589e-05 	7.17356066992636e-07
163 	0.00123950621996238 	0.00124503843941248 	3.45706510498367e-05 	2.58321714841081e-06
167 	0.00120971646402457 	0.00121498448387514 	3.28950284320673e-05 	2.46048721175285e-06
172 	0.00117609768398275 	0.00117768424957032 	2.92751053485585e-05 	5.67931045081238e-07
177 	0.00114763512163685 	0.00113917555401621 	2.26202807622755e-05 	3.66526275996648e-09
183 	0.00110361815771531 	0.00110799841251108 	2.727815442638e-05 	2.04762233058098e-06
188 	0.0010755738426822 	0.00107689050543347 	2.43981269076876e-05 	4.75540327338209e-07
193 	0.00105172102540507 	0.001044608777798 	1.8937747940484e-05 	2.57747823084742e-09
199 	0.00101462714664335 	0.00101832663614099 	2.29862373946066e-05 	1.73053724106254e-06
205 	0.000989683724757828 	0.000983381548411266 	1.67356417715148e-05 	2.01711736202981e-09
211 	0.000956763810967765 	0.000960051803137185 	2.03989741587307e-05 	1.53866577368156e-06
217 	0.000934556107996753 	0.000928933187342551 	1.48964546373698e-05 	1.60104796087523e-09
223 	0.000905143398391539 	0.000908084952281785 	1.82252032867591e-05 	1.37700987012934e-06
230 	0.000878507763970804 	0.000879287112466987 	1.61206393205493e-05 	3.32378648382203e-07
237 	0.000855162995520242 	0.000850451006381814 	1.24409828083927e-05 	1.11958375903498e-09
244 	0.000827889151965744 	0.000828654862495393 	1.433095080694e-05 	2.82687113939417e-07
251 	0.000803933508587429 	0.000806252221214221 	1.43282144220436e-05 	1.08610240046048e-06
258 	0.000782850430437243 	0.000783471949037162 	1.27627527086727e-05 	2.63062086780508e-07
266 	0.00075923023013047 	0.000759815441840672 	1.19953483466162e-05 	2.47228225891405e-07
273 	0.000741736226207212 	0.000738187332620432 	9.32547949994422e-06 	6.31184216004499e-10
281 	0.000720499026839239 	0.000717149762335278 	8.79312818846678e-06 	5.61500845819296e-10
290 	0.000696211313670148 	0.000696704853501595 	1.00668635167889e-05 	2.07449627254164e-07
298 	0.000677467080733463 	0.000677934817352677 	9.52653766250755e-06 	1.96307319511035e-07
307 	0.000657001834059034 	0.000658548835783757 	9.5223409748435e-06 	7.25171830806559e-07
316 	0.000638755232380106 	0.000639204877222799 	8.47570265305464e-06 	1.68792505306214e-07
325 	0.000622473421051373 	0.000619971216924808 	6.54272180322657e-06 	3.11563885802002e-10
334 	0.00060425797837893 	0.000604631399760303 	7.56165433757339e-06 	1.55798647094585e-07
344 	0.00058663526139946 	0.000587013133077186 	7.13625483217406e-06 	1.42500468536255e-07
354 	0.00057003560891089 	0.000570368488685968 	6.7222752917484e-06 	1.38498236879059e-07
365 	0.000553956331015959 	0.000551973433816189 	5.17037295288958e-06 	1.94729121716364e-10
375 	0.00053767288158646 	0.000538708171664348 	6.35216006417139e-06 	4.85543805162081e-07
386 	0.000522672524503776 	0.000522953046166341 	5.64335034880514e-06 	1.16264119665033e-07
398 	0.000506879128150617 	0.000507143162821189 	5.30487638905619e-06 	1.09289725047645e-07
409 	0.000494126756529267 	0.000492548226423306 	4.10605195133584e-06 	1.22763132992532e-10
421 	0.000479988266373299 	0.00047849859645499 	3.87270867552303e-06 	1.09171116591256e-10
434 	0.000464749493120697 	0.000464971936588787 	4.45391430958786e-06 	9.175671489281e-08
446 	0.0004522205691877 	0.00045243131621242 	4.2153888766272e-06 	8.684252161828e-08
459 	0.000439143881769022 	0.000439834101678027 	4.22360484808593e-06 	3.23817150649219e-07
