#h	fwdEuler	bwdEuler	Heun	RK4
9.99999999999998e-06 	1.06984907910029e-05 	1.06984750248917e-05 	1.06984829079456e-05 	1.06984932735781e-05
1.02920052719443e-05 	1.06537233382283e-05 	1.0653707572448e-05 	1.06537154552579e-05 	1.06537261237581e-05
1.05925372517729e-05 	1.06076486521861e-05 	1.0607632914302e-05 	1.06076407831286e-05 	1.06076517629793e-05
1.09018449238513e-05 	1.05602285611353e-05 	1.05602128804838e-05 	1.05602207208129e-05 	1.05602320212135e-05
1.12201845430196e-05 	1.05114237783063e-05 	1.051140818744e-05 	1.05114159828721e-05 	1.0511427613375e-05
1.15478198468946e-05 	1.04611938701307e-05 	1.04611784041667e-05 	1.04611861370602e-05 	1.04611981072364e-05
1.18850222743702e-05 	1.04094972222419e-05 	1.04094819190465e-05 	1.04094895705013e-05 	1.04095018901911e-05
1.22320711904993e-05 	1.0356291004865e-05 	1.03562759054867e-05 	1.03562834551759e-05 	1.03562961345593e-05
1.25892541179417e-05 	1.03015311379073e-05 	1.03015162872486e-05 	1.03015237123619e-05 	1.03015367621311e-05
1.29568669751702e-05 	1.02451722539647e-05 	1.02451576999049e-05 	1.02451649767716e-05 	1.02451784074605e-05
1.33352143216332e-05 	1.01871676609702e-05 	1.01871534551708e-05 	1.01871605579908e-05 	1.01871743809611e-05
1.37246096100756e-05 	1.01274693033135e-05 	1.01274555019849e-05 	1.01274624026113e-05 	1.01274766291136e-05
1.41253754462275e-05 	1.00660277220298e-05 	1.00660143856989e-05 	1.00660210537588e-05 	1.00660356956945e-05
1.45378438560766e-05 	1.00027920141959e-05 	1.00027792077491e-05 	1.00027856109065e-05 	1.00028006802956e-05
1.49623565609443e-05 	9.93770979036566e-06 	9.93769758392518e-06 	9.93770368692228e-06 	9.93771919642026e-06
1.53992652605949e-05 	9.87072713128956e-06 	9.87071559986577e-06 	9.87072136544631e-06 	9.87073732784712e-06
1.58489319246111e-05 	9.80178854328967e-06 	9.80177776750677e-06 	9.80178315531358e-06 	9.80179958380251e-06
1.63117290922784e-05 	9.73083691209451e-06 	9.73082697903573e-06 	9.73083194547993e-06 	9.73084885372811e-06
1.67880401812256e-05 	9.6578134559721e-06 	9.65780445889069e-06 	9.65780895731433e-06 	9.65782635923032e-06
1.72782598050786e-05 	9.5826576763548e-06 	9.5826497149334e-06 	9.58265369561277e-06 	9.58267160576138e-06
1.77827941003892e-05 	9.50530730846841e-06 	9.50530049009306e-06 	9.50530389917796e-06 	9.50532233225151e-06
