#h	fwdEuler	bwdEuler	Heun	RK4
9.99999999999998e-06 	2.06759754481782e-09 	2.6693400254287e-09 	2.35659745480015e-09 	2.30549862145438e-09
1.02920052719443e-05 	1.31750970532512e-07 	1.36322948223141e-07 	1.34024404615134e-07 	1.33634058533715e-07
1.05925372517729e-05 	5.58657931046891e-09 	6.64088568838279e-09 	6.10041490332125e-09 	6.01069439837121e-09
1.09018449238513e-05 	8.64460989560135e-08 	9.04019051493178e-08 	8.84099106083209e-08 	8.80722772807042e-08
1.12201845430196e-05 	6.27724051175625e-09 	7.46034198744224e-09 	6.85384900102377e-09 	6.75316950711857e-09
1.15478198468946e-05 	5.50339875011895e-08 	5.84133401286146e-08 	5.67078484107923e-08 	5.64195307239024e-08
1.18850222743702e-05 	7.80018050463428e-08 	8.21112269942116e-08 	8.00397672084945e-08 	7.96890842880216e-08
1.22320711904993e-05 	3.36362224575774e-08 	3.64740088247148e-08 	3.50373659943555e-08 	3.47953827794907e-08
1.25892541179417e-05 	2.02530121078307e-07 	2.09427869606306e-07 	2.05960218582919e-07 	2.05371261516322e-07
1.29568669751702e-05 	1.29599930587623e-08 	1.48871703993343e-08 	1.39036595167473e-08 	1.37395452300716e-08
1.33352143216332e-05 	6.70296583811475e-08 	7.1325279473707e-08 	6.91563813065779e-08 	6.87899127066956e-08
1.37246096100756e-05 	2.3422753192108e-07 	2.42302829733583e-07 	2.38242867718322e-07 	2.3755335869379e-07
1.41253754462275e-05 	1.30529854190859e-07 	1.36795919803492e-07 	1.33639238187931e-07 	1.33104434118924e-07
1.45378438560766e-05 	3.74704561746074e-07 	3.8546108618908e-07 	3.80057803915028e-07 	3.79139137201405e-07
1.49623565609443e-05 	7.20163542384917e-08 	7.70126525485801e-08 	7.44879572633362e-08 	7.40617665578666e-08
1.53992652605949e-05 	1.81324094821983e-08 	2.08244078756187e-08 	1.94502706917831e-08 	1.9221037456495e-08
1.58489319246111e-05 	2.50268733604492e-07 	2.59910791893293e-07 	2.55060011312478e-07 	2.542367991982e-07
1.63117290922784e-05 	1.69714980623684e-07 	1.77940478353106e-07 	1.73796200825907e-07 	1.73094148191125e-07
1.67880401812256e-05 	3.14418724915279e-08 	3.52429312504451e-08 	3.330896707428e-08 	3.29851158955695e-08
1.72782598050786e-05 	2.91304975904032e-08 	3.29087032989856e-08 	3.09841835015085e-08 	3.06623412124184e-08
1.77827941003892e-05 	1.63236385867525e-08 	1.93005303263957e-08 	1.77745609646234e-08 	1.75212479689909e-08
1.83020610631105e-05 	2.63691962071869e-07 	2.7512835687199e-07 	2.69370487454962e-07 	2.68394189899592e-07
1.8836490894898e-05 	1.35372817614028e-07 	1.43908316010634e-07 	1.39598514012219e-07 	1.38870284399769e-07
1.9386526359522e-05 	4.0160903622803e-08 	4.51017792045669e-08 	4.25867606197534e-08 	4.21658251211578e-08
1.99526231496888e-05 	3.73836267938765e-07 	3.88620607302951e-07 	3.81181310368613e-07 	3.79918991683304e-07
2.05352502645714e-05 	4.25508034454025e-07 	4.41718587826194e-07 	4.33563401419443e-07 	4.32179214059679e-07
2.11348903983665e-05 	1.92480868105596e-08 	2.3091665344133e-08 	2.11168756314368e-08 	2.0789943190248e-08
2.17520403401952e-05 	4.11928927316292e-07 	4.28840176316812e-07 	4.20328548440895e-07 	4.18884650517584e-07
2.23872113856834e-05 	1.25045349726024e-07 	1.34839402415498e-07 	1.29882971402503e-07 	1.29047682310992e-07
2.30409297605584e-05 	3.4813839568056e-09 	5.42352337126251e-09 	4.38943733039979e-09 	4.22524597158642e-09
2.37137370566165e-05 	4.22643014470734e-07 	4.41327705503663e-07 	4.31918802872718e-07 	4.30323601466191e-07
2.44061906804198e-05 	5.61415136532624e-08 	6.34654338878674e-08 	5.97328311499412e-08 	5.91089895474776e-08
2.51188643150958e-05 	5.68433104655063e-07 	5.91312530338731e-07 	5.79798177654717e-07 	5.77844493106817e-07
2.58523483956218e-05 	5.90534047796311e-08 	6.70108139509965e-08 	6.29528496991055e-08 	6.22751158518831e-08
2.66072505979881e-05 	6.74888959004413e-07 	7.01257116925346e-07 	6.87989318849085e-07 	6.8573753784075e-07
2.73841963426436e-05 	2.33489610137385e-07 	2.49709744828557e-07 	2.41510850921464e-07 	2.4012710298432e-07
2.81838293126445e-05 	1.70222669856046e-07 	1.84574312925869e-07 	1.77304369242077e-07 	1.76080522459735e-07
2.90068119869316e-05 	6.3867261920654e-07 	6.66679245690473e-07 	6.52576420974943e-07 	6.50185048002203e-07
2.98538261891796e-05 	4.63929452357123e-07 	4.8860836589956e-07 	4.76163441060943e-07 	4.74056902215976e-07
3.07255736526744e-05 	6.16373560262304e-08 	7.13402513447526e-08 	6.63768499213745e-08 	6.55508772476038e-08
3.16227766016837e-05 	1.03153080593268e-06 	1.07015799333912e-06 	1.05072625521458e-06 	1.04742690401312e-06
3.25461783498046e-05 	6.0567401255965e-07 	6.36335904659546e-07 	6.20879668954318e-07 	6.18262058135555e-07
3.34965439157828e-05 	1.30095192153272e-06 	1.34681927272104e-06 	1.32375311853013e-06 	1.31983471368351e-06
3.44746606573149e-05 	1.3297095284421e-06 	1.37743698957375e-06 	1.35343293885852e-06 	1.34935564637761e-06
3.54813389233575e-05 	1.46534700336113e-06 	1.51687810391072e-06 	1.49096396078018e-06 	1.48656143209631e-06
3.65174127254838e-05 	9.88048401759807e-08 	1.13268381417171e-07 	1.05878524156587e-07 	1.04646986694658e-07
3.75837404288444e-05 	1.63523799523688e-07 	1.82423284481429e-07 	1.72806162091307e-07 	1.71195703178737e-07
3.86812054633052e-05 	3.21854409217941e-07 	3.48759313634168e-07 	3.35129704477678e-07 	3.32835077456489e-07
3.98107170553496e-05 	1.9880377476113e-06 	2.05526433801923e-06 	2.02146415813962e-06 	2.01571950778138e-06
4.09732109813541e-05 	1.14797611575674e-07 	1.32277013821986e-07 	1.23338318691257e-07 	1.21850176002361e-07
4.21696503428582e-05 	1.62625332624305e-06 	1.690810287765e-06 	1.65832198237666e-06 	1.65280689069751e-06
4.34010263644743e-05 	2.7169717986915e-06 	2.80248730609149e-06 	2.75950769937671e-06 	2.75219828861804e-06
4.46683592150963e-05 	1.62583787915103e-07 	1.85096447680164e-07 	1.73603688533354e-07 	1.71686367729488e-07
4.59726988530872e-05 	9.8679631445649e-09 	1.64673390054654e-08 	1.29168397024095e-08 	1.23600075993684e-08
4.7315125896148e-05 	2.95405566980771e-06 	3.05126660144604e-06 	3.00239755499775e-06 	2.99408824876002e-06
4.86967525165862e-05 	2.62598522268953e-07 	2.93488757207024e-07 	2.7776279424995e-07 	2.75130517630447e-07
5.01187233627272e-05 	1.63567770834716e-06 	1.7127603916986e-06 	1.67392267383214e-06 	1.66733866623377e-06
5.15822165072306e-05 	1.24130497537016e-06 	1.31065605434405e-06 	1.27566632487366e-06 	1.26974482977315e-06
5.30884444230987e-05 	1.14445578959044e-06 	1.21308728340283e-06 	1.1784386589522e-06 	1.17257941604676e-06
5.46386549881853e-05 	2.41221419400677e-08 	3.58125467832564e-08 	2.96131667421842e-08 	2.86242153457671e-08
5.62341325190349e-05 	3.30462273911773e-06 	3.42688821831637e-06 	3.36538334617936e-06 	3.35493253034735e-06
5.7876198834912e-05 	3.89889738019178e-07 	4.34432676590589e-07 	4.11764724189014e-07 	4.07968403220923e-07
5.9566214352901e-05 	1.35469547970102e-08 	2.36228925650259e-08 	1.81639050377695e-08 	1.73148070069492e-08
6.13055792149819e-05 	3.30531083917051e-06 	3.43872437724086e-06 	3.37157533179509e-06 	3.36017250444999e-06
6.30957344480193e-05 	5.6911652601443e-06 	5.87060315063121e-06 	5.78041702068549e-06 	5.76506967150125e-06
6.49381631576211e-05 	5.04743428210827e-07 	5.61469113755111e-07 	5.32607342436664e-07 	5.27772132207269e-07
6.68343917568614e-05 	9.52365416403859e-07 	1.03169593569964e-06 	9.91502869177419e-07 	9.8473457175284e-07
6.87859912308808e-05 	5.53908581736362e-06 	5.73224880480718e-06 	5.6351119779506e-06 	5.61859241377505e-06
7.07945784384137e-05 	1.17818955584507e-06 	1.27145297726595e-06 	1.22422937698629e-06 	1.21627076591449e-06
7.28618174513227e-05 	3.25209313047268e-06 	3.40968848803974e-06 	3.33026604249834e-06 	3.31679908652503e-06
7.49894209332455e-05 	4.3694685794055e-07 	4.98346050190079e-07 	4.66980971732346e-07 	4.61751038179657e-07
7.71791515585013e-05 	7.3344643694145e-06 	7.5835689605827e-06 	7.45831876204046e-06 	7.43700782985886e-06
7.94328234724282e-05 	6.81207704530746e-07 	7.6175316219651e-07 	7.20734352462754e-07 	7.13868987202774e-07
8.17523037943649e-05 	6.08048142744307e-08 	8.79421790444911e-08 	7.35809776509881e-08 	7.12842418536471e-08
8.41395141645194e-05 	7.85327949609223e-09 	2.00098246826467e-08 	1.30914237857522e-08 	1.20763765124852e-08
8.65964323360065e-05 	8.23649395418463e-06 	8.53271234204925e-06 	8.38372524712785e-06 	8.35838113467247e-06
8.91250938133745e-05 	4.51529699848147e-07 	5.26091642715378e-07 	4.87870721660368e-07 	4.81523068845122e-07
9.17275935389779e-05 	9.80014320140867e-06 	1.01421210277847e-05 	9.9701483568005e-06 	9.94088163531917e-06
9.44060876285921e-05 	4.20612992396823e-06 	4.43850285730837e-06 	4.32126882863541e-06 	4.30141044134779e-06
9.71627951577105e-05 	1.19147582685944e-09 	8.94151420171469e-09 	3.94586663076112e-09 	3.3152970123893e-09
9.99999999999999e-05 	1.75970078327482e-09 	1.20522541736506e-08 	5.71906063015265e-09 	4.87286276643265e-09
0.000102920052719443 	1.35513202391443e-06 	1.50139868674025e-06 	1.42701494024404e-06 	1.41454068844188e-06
0.000105925372517729 	6.76996968746018e-06 	7.09968826921911e-06 	6.93351374578774e-06 	6.90531787760242e-06
0.000109018449238513 	1.1143137952873e-05 	1.15767730858784e-05 	1.13585673714184e-05 	1.13214526391364e-05
0.000112201845430196 	5.31214398367395e-06 	5.6224902831467e-06 	5.46583928545572e-06 	5.43931291718079e-06
0.000115478198468946 	8.96220996929104e-06 	9.37514561861053e-06 	9.16711765259026e-06 	9.13179081249396e-06
0.000118850222743702 	2.07505044018232e-05 	2.13930488272189e-05 	2.10701366397623e-05 	2.10150730824379e-05
0.000122320711904993 	1.28758667153884e-06 	1.45801570744577e-06 	1.37103472887705e-06 	1.35650825266311e-06
0.000125892541179417 	2.04590144533089e-06 	2.2652721275229e-06 	2.15371836206468e-06 	2.13500417869951e-06
0.000129568669751702 	2.27871827281938e-05 	2.35212286832919e-05 	2.31522587106616e-05 	2.3089342965206e-05
0.000133352143216332 	2.55688188449239e-05 	2.63685729933038e-05 	2.59666364339789e-05 	2.58980704045955e-05
0.000137246096100756 	9.99945782024445e-07 	1.17010120789042e-06 	1.08279823828173e-06 	1.06830924793475e-06
0.000141253754462275 	6.7554760499609e-06 	7.19642342492166e-06 	6.97361097292327e-06 	6.93591667673555e-06
0.000145378438560766 	1.22590205836934e-05 	1.2866908392196e-05 	1.25604980740391e-05 	1.25084722895107e-05
0.000149623565609443 	6.96177962133139e-06 	7.43620610991064e-06 	7.19636926527056e-06 	7.15581391707443e-06
0.000153992652605949 	2.55387533297671e-05 	2.64628491686594e-05 	2.59980549234775e-05 	2.59188352824828e-05
0.000158489319246111 	1.33217721875194e-05 	1.4012798562058e-05 	1.36643562280636e-05 	1.36052095196981e-05
0.000163117290922784 	1.334767814552e-05 	1.40598205072266e-05 	1.37006466894401e-05 	1.36396941270678e-05
0.000167880401812256 	1.75437378605369e-05 	1.83821450950871e-05 	1.7959663636035e-05 	1.78878609280415e-05
0.000172782598050786 	1.84812312258237e-05 	1.93667463349129e-05 	1.89205186167445e-05 	1.88446739275829e-05
0.000177827941003892 	8.66412348241245e-06 	9.29335939408571e-06 	8.9750411827521e-06 	8.92124135030609e-06
0.000183020610631106 	4.04695410071939e-05 	4.18489355581913e-05 	4.11553840412155e-05 	4.10369903600987e-05
